stationName,stationImgFileName,stationId,stationLongitude,stationLatitude,rackTotCnt,parkingBikeTotCnt,parkingQRBikeCnt,parkingELECBikeCnt,stationSeCd,mode
245. 삼성생명 당산사옥 앞,,ST-294,126.89662933,37.52826309,14,0,30,10,RAK_002,
267. 삼성화재 사옥 옆,,ST-421,126.89830017,37.53596115,15,0,20,1,RAK_002,
551. 구의삼성쉐르빌 앞,,ST-377,127.09388733,37.53984070,11,0,18,0,RAK_002,
608. 전농삼성아파트,,ST-268,127.05534363,37.58131027,10,0,0,0,RAK_002,
830. 강변삼성스위트아파트 앞,,ST-1327,126.94857025,37.53442383,10,0,4,0,RAK_001,
839. 보광동 삼성리버빌아파트 앞,,ST-1441,127.00144958,37.52400970,10,0,4,0,RAK_001,
1004. 삼성광나루아파트 버스정류장,,ST-488,127.12886810,37.55332947,10,0,31,0,RAK_001,
1339. 삼성전자서비스 성북센터,,ST-1203,127.03366852,37.61057281,9,0,6,1,RAK_001,
1392.돈암삼성풍림아파트,,ST-2233,127.02262878,37.59709930,10,0,9,1,RAK_002,
1994. 삼성전자 물류센터 앞,,ST-1529,126.87178040,37.49699783,10,0,18,2,RAK_001,
2067. 보라매역․동작세무서 버스정류장(강남중학교방면),,ST-1543,126.91986847,37.49766922,10,0,38,2,RAK_001,
2085.강남중학교 앞,,ST-2358,126.92157745,37.50274277,20,0,16,2,RAK_002,
2170. 조원동 강남힐병원,,ST-1265,126.91203308,37.48152924,10,0,17,1,RAK_001,
2174. 삼성디지털프라자관악점,,ST-1269,126.92848206,37.48856354,10,0,6,0,RAK_001,
2231. 삼성타운(삼성생명) A동 맞은편,,ST-761,127.02496338,37.49691391,17,0,31,24,RAK_001,
2302. 교보타워 버스정류장(신논현역 3번출구 후면),,ST-787,127.02427673,37.50558090,10,0,2,0,RAK_001,
2303. 논현역 10번출구,,ST-788,127.02146149,37.51137161,15,0,0,0,RAK_001,
2309. 청담역(우리들병원 앞),,ST-783,127.04938507,37.51890182,10,0,0,0,RAK_001,
2310. 청담동 맥도날드 옆(위치),,ST-794,127.04017639,37.52361298,10,0,0,0,RAK_001,
2312. 청담역 13번 출구 앞,,ST-795,127.05632782,37.52058029,10,0,0,0,RAK_001,
2317. 삼성도로공원,,ST-784,127.06620026,37.51588821,10,0,2,0,RAK_001,
2318. 삼성중앙역4번출구(문화센터더 리빌),,ST-801,127.05503082,37.51357651,16,0,1,0,RAK_001,
2319. 포스코사거리 서측(수협 삼성동 지점),,ST-802,127.05467987,37.50660706,10,0,0,0,RAK_001,
2320. 도곡역 대치지구대 방향,,ST-803,127.05709076,37.49191284,10,0,26,0,RAK_001,
2324. 천주교 대치 2동 교회 옆,,ST-807,127.06622314,37.50043869,10,0,2,5,RAK_001,
2325. 대치삼성아파트 앞 교차로,,ST-808,127.05931854,37.49864960,10,0,3,2,RAK_001,
2326. 대치동 삼성로,,ST-809,127.05879974,37.50239563,10,0,1,0,RAK_001,
2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,,ST-811,127.04273224,37.50321198,10,0,0,0,RAK_001,
2329. 르네상스호텔사거리 역삼지하보도 2번출구,,ST-812,127.04319000,37.50235748,10,0,0,0,RAK_001,
2330. 역삼월드메르디앙아파트 앞,,ST-813,127.03945923,37.49219894,10,0,1,1,RAK_001,
2336. 강남세브란스교차로  래미안그레이튼 104동 앞,,ST-819,127.04746246,37.49423599,10,0,2,0,RAK_001,
