date,total_increase,total_decrease,n_increase,n_decrease,abs_decrease,balance_ratio,imbalance
2022-02-01,162.0,-58.0,17,6,58.0,2.793103448227705,104.0
2022-03-01,127.0,-215.0,12,20,215.0,0.5906976744158573,88.0
2022-04-04,378.0,-180.0,24,16,180.0,2.0999999999883334,198.0
2022-04-16,0.0,-8.0,0,1,8.0,0.0,8.0
2022-05-01,149.0,-125.0,12,11,125.0,1.191999999990464,24.0
2022-05-05,0.0,-13.0,0,1,13.0,0.0,13.0
2022-05-07,9.0,0.0,1,0,0.0,9000000000.0,9.0
2022-05-10,8.0,0.0,1,0,0.0,7999999999.999999,8.0
2022-06-01,79.0,-75.0,8,7,75.0,1.053333333319289,4.0
2022-06-04,9.0,0.0,1,0,0.0,9000000000.0,9.0
2022-06-07,8.0,0.0,1,0,0.0,7999999999.999999,8.0
2022-07-01,232.0,-81.0,19,7,81.0,2.8641975308288368,151.0
2022-07-16,8.0,0.0,1,0,0.0,7999999999.999999,8.0
2022-08-01,249.0,-92.0,20,8,92.0,2.706521739101016,157.0
2022-09-01,80.0,-205.0,6,15,205.0,0.39024390243712076,125.0
2022-09-03,8.0,0.0,1,0,0.0,7999999999.999999,8.0
2022-09-04,10.0,0.0,1,0,0.0,10000000000.0,10.0
2022-10-01,75.0,-350.0,6,29,350.0,0.21428571428510204,275.0
2022-10-02,0.0,-18.0,0,2,18.0,0.0,18.0
2022-10-16,0.0,-18.0,0,2,18.0,0.0,18.0
2022-11-01,144.0,-160.0,10,13,160.0,0.8999999999943751,16.0
2022-12-01,353.0,-266.0,26,22,266.0,1.3270676691679435,87.0
2023-01-01,278.0,-246.0,23,18,246.0,1.1300813008084143,32.0
2023-02-01,228.0,-261.0,17,21,261.0,0.8735632183874577,33.0
2023-03-01,319.0,-128.0,23,11,128.0,2.49218749998053,191.0
