hour,large_increase,large_decrease,total,inc_mean,inc_count,inc_median,dec_mean,dec_count,dec_median
0,230,210,440,12.665217391304347,230.0,11.0,-11.9,210.0,-11.0
1,5,8,13,8.8,5.0,9.0,-9.25,8.0,-8.0
2,1,7,8,8.0,1.0,8.0,-8.857142857142858,7.0,-9.0
3,1,1,2,11.0,1.0,11.0,-11.0,1.0,-11.0
4,0,0,0,,,,,,
5,1,1,2,8.0,1.0,8.0,-8.0,1.0,-8.0
6,5,0,5,8.4,5.0,8.0,,,
7,17,1,18,9.941176470588236,17.0,9.0,-9.0,1.0,-9.0
8,275,65,340,12.643636363636364,275.0,13.0,-11.276923076923078,65.0,-10.0
9,999,295,1294,13.595595595595595,999.0,13.0,-11.701694915254237,295.0,-11.0
10,638,220,858,12.802507836990596,638.0,13.0,-11.85909090909091,220.0,-12.0
11,385,192,577,13.2,385.0,14.0,-12.333333333333334,192.0,-12.0
12,81,55,136,12.246913580246913,81.0,12.0,-11.327272727272728,55.0,-10.0
13,43,25,68,10.953488372093023,43.0,11.0,-10.2,25.0,-10.0
14,173,78,251,12.988439306358382,173.0,14.0,-12.538461538461538,78.0,-11.0
15,685,187,872,13.862773722627738,685.0,14.0,-13.096256684491978,187.0,-13.0
16,387,198,585,13.142118863049095,387.0,14.0,-11.8989898989899,198.0,-11.0
17,239,209,448,12.497907949790795,239.0,13.0,-11.239234449760765,209.0,-10.0
18,105,537,642,10.628571428571428,105.0,9.0,-12.42830540037244,537.0,-10.0
19,140,603,743,10.464285714285714,140.0,10.0,-11.1575456053068,603.0,-10.0
20,246,130,376,12.711382113821138,246.0,13.0,-10.53076923076923,130.0,-10.0
21,269,151,420,12.546468401486988,269.0,13.0,-11.880794701986755,151.0,-11.0
22,48,51,99,10.0,48.0,9.0,-9.431372549019608,51.0,-9.0
23,30,38,68,9.3,30.0,9.0,-9.236842105263158,38.0,-9.0
