hour,large_increase,large_decrease,total,inc_mean,inc_count,inc_median,dec_mean,dec_count,dec_median
0,40,32,72,13.675,40.0,12.0,-12.15625,32.0,-11.0
1,0,0,0,,,,,,
2,0,1,1,,,,-10.0,1.0,-10.0
3,0,0,0,,,,,,
4,0,0,0,,,,,,
5,0,0,0,,,,,,
6,0,0,0,,,,,,
7,0,0,0,,,,,,
8,25,8,33,13.92,25.0,15.0,-10.25,8.0,-10.0
9,163,49,212,12.85276073619632,163.0,13.0,-11.408163265306122,49.0,-11.0
10,91,41,132,12.868131868131869,91.0,14.0,-11.853658536585366,41.0,-11.0
11,48,31,79,13.041666666666666,48.0,14.0,-12.548387096774194,31.0,-12.0
12,9,4,13,10.777777777777779,9.0,11.0,-13.25,4.0,-13.0
13,5,0,5,9.8,5.0,11.0,,,
14,19,8,27,13.894736842105264,19.0,14.0,-12.125,8.0,-10.0
15,81,48,129,14.345679012345679,81.0,15.0,-13.479166666666666,48.0,-13.5
16,63,41,104,13.031746031746032,63.0,14.0,-12.170731707317072,41.0,-12.0
17,32,16,48,12.3125,32.0,11.0,-11.5625,16.0,-11.0
18,9,50,59,10.11111111111111,9.0,9.0,-10.5,50.0,-10.0
19,15,80,95,10.866666666666667,15.0,9.0,-10.925,80.0,-9.5
20,38,13,51,13.81578947368421,38.0,14.0,-10.153846153846153,13.0,-9.0
21,54,30,84,13.351851851851851,54.0,14.0,-13.0,30.0,-13.5
22,2,6,8,8.0,2.0,8.0,-10.0,6.0,-9.0
23,2,5,7,10.0,2.0,10.0,-9.2,5.0,-9.0
