station_id,station_name,large_increase,large_decrease,total
2348,2348. 포스코사거리(기업은행),45,43,88
4905,4905. 강남경찰서,23,23,46
2405,2405. 청담공원앞 교차로,31,10,41
2323,2323. 주식회사 오뚜기 정문 앞,25,13,38
2333,2333. 양재역 3번출구 주변,30,6,36
2377,2377. 수서역 5번출구,11,22,33
2384,2384. 자곡사거리,11,19,30
2340,2340. 삼호물산버스정류장(23370) 옆,6,21,27
2349,2349. 역삼빌딩 앞(하나은행 옆),22,3,25
2303,2303. 논현역 10번출구,24,0,24
3642,3642. LH강남힐스테이트아파트,22,0,22
2388,2388. 강남구 도시관리공단,18,4,22
2341,2341. 일원역 4~5번 출구 사이,21,1,22
3644,3644. 상록수아파트,19,0,19
4906,4906. 섬유센터 앞,7,12,19
2301,2301. 현대고등학교 건너편,4,15,19
2410,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),14,4,18
2375,2375. 수서역 1번출구 앞,1,16,17
2304,2304. 대현그린타워,17,0,17
2420,2420.학여울역 사거리(LG베스트샵 앞),13,4,17
