station_id,resolved_api_station_id,operational_status,mapping_source,exception_note,stationName,current_bike_stock,current_capacity,shared,realtime_join_success
2301,ST-777,realtime_available,bikeList,,2301. 현대고등학교 건너편,6,10,60,True
2302,ST-787,realtime_available,bikeList,,2302. 교보타워 버스정류장(신논현역 3번출구 후면),5,10,50,True
2303,ST-788,realtime_available,bikeList,,2303. 논현역 10번출구,0,15,0,True
2304,ST-789,realtime_available,bikeList,,2304. 대현그린타워,0,10,0,True
2305,ST-790,realtime_available,bikeList,,2305. MCM 본사 직영점 앞,2,6,33,True
2306,ST-791,realtime_available,bikeList,,2306. 압구정역 2번 출구 옆,4,25,16,True
2307,ST-792,realtime_available,bikeList,,2307. 압구정 한양 3차 아파트,4,10,40,True
2308,ST-793,realtime_available,bikeList,,2308. 압구정파출소 앞,6,14,43,True
2309,ST-783,realtime_available,bikeList,,2309. 청담역(우리들병원 앞),0,10,0,True
2310,ST-794,realtime_available,bikeList,,2310. 청담동 맥도날드 옆(위치),1,10,10,True
2311,ST-786,realtime_available,bikeList,,2311. 학동로 래미안 아파트 앞,0,6,0,True
2312,ST-795,realtime_available,bikeList,,2312. 청담역 13번 출구 앞,2,10,20,True
2313,ST-796,realtime_available,bikeList,,2313. 금원빌딩 앞,0,10,0,True
2314,ST-798,realtime_unavailable_candidate,tbCycleStationInfo_master,bikeList 미노출; 마스터 API 존재,,,,,False
2315,ST-799,realtime_available,bikeList,,2315. 봉은사역 5번출구 옆,4,10,40,True
2317,ST-784,realtime_available,bikeList,,2317. 삼성도로공원,14,10,140,True
2318,ST-801,realtime_available,bikeList,,2318. 삼성중앙역4번출구(문화센터더 리빌),0,16,0,True
2319,ST-802,realtime_available,bikeList,,2319. 포스코사거리 서측(수협 삼성동 지점),0,10,0,True
2320,ST-803,realtime_available,bikeList,,2320. 도곡역 대치지구대 방향,8,10,80,True
2321,ST-804,realtime_available,bikeList,,2321. 학여울역 사거리,1,10,10,True
2323,ST-806,realtime_unavailable_candidate,tbCycleStationInfo_master,bikeList 미노출; 마스터 API 존재,,,,,False
2324,ST-807,realtime_available,bikeList,,2324. 천주교 대치 2동 교회 옆,4,10,40,True
2325,ST-808,realtime_available,bikeList,,2325. 대치삼성아파트 앞 교차로,4,10,40,True
2326,ST-809,realtime_available,bikeList,,2326. 대치동 삼성로,1,10,10,True
2327,ST-810,realtime_available,bikeList,,2327. 뱅뱅사거리 랜드마크타워 앞,20,15,133,True
2328,ST-811,realtime_available,bikeList,,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,1,10,10,True
2329,ST-812,realtime_available,bikeList,,2329. 르네상스호텔사거리 역삼지하보도 2번출구,1,10,10,True
2330,ST-813,realtime_available,bikeList,,2330. 역삼월드메르디앙아파트 앞,1,10,10,True
2331,ST-814,realtime_available,bikeList,,2331. 동영문화센터앞,2,10,20,True
2332,ST-815,realtime_available,bikeList,,2332. 선릉역3번출구,0,8,0,True
2333,ST-816,realtime_available,bikeList,,2333. 양재역 3번출구 주변,1,14,7,True
2334,ST-817,realtime_available,bikeList,,2334. 삼호아파트 2동 ( 간선도로),0,12,0,True
2335,ST-818,realtime_available,bikeList,,2335. 3호선 매봉역 3번출구앞,27,15,180,True
2336,ST-819,realtime_available,bikeList,,2336. 강남세브란스교차로  래미안그레이튼 104동 앞,0,10,0,True
2337,ST-782,realtime_available,bikeList,,2337. 대모산입구역 2번출구 앞,7,10,70,True
2339,ST-820,realtime_available,bikeList,,2339. 현대아파트 정문 앞,0,10,0,True
2340,ST-821,realtime_available,bikeList,,2340. 삼호물산버스정류장(23370) 옆,28,17,165,True
2341,ST-822,realtime_available,bikeList,,2341. 일원역 4~5번 출구 사이,1,10,10,True
2342,ST-823,realtime_available,bikeList,,2342. 대청역 1번출구  뒤,8,15,53,True
2344,ST-779,realtime_available,bikeList,,2344. 리엔파크 2단지 앞,8,10,80,True
2347,ST-961,realtime_available,bikeList,,2347. 두산건설 본사,0,11,0,True
