station_id,resolved_api_station_id,operational_status,mapping_source,exception_note
2301,ST-777,realtime_available,bikeList,
2302,ST-787,realtime_available,bikeList,
2303,ST-788,realtime_available,bikeList,
2304,ST-789,realtime_available,bikeList,
2305,ST-790,realtime_available,bikeList,
2306,ST-791,realtime_available,bikeList,
2307,ST-792,realtime_available,bikeList,
2308,ST-793,realtime_available,bikeList,
2309,ST-783,realtime_available,bikeList,
2310,ST-794,realtime_available,bikeList,
2311,ST-786,realtime_available,bikeList,
2312,ST-795,realtime_available,bikeList,
2313,ST-796,realtime_available,bikeList,
2314,ST-798,realtime_unavailable_candidate,tbCycleStationInfo_master,bikeList 미노출; 마스터 API 존재
2315,ST-799,realtime_available,bikeList,
2317,ST-784,realtime_available,bikeList,
2318,ST-801,realtime_available,bikeList,
2319,ST-802,realtime_available,bikeList,
2320,ST-803,realtime_available,bikeList,
2321,ST-804,realtime_available,bikeList,
2323,ST-806,realtime_unavailable_candidate,tbCycleStationInfo_master,bikeList 미노출; 마스터 API 존재
2324,ST-807,realtime_available,bikeList,
2325,ST-808,realtime_available,bikeList,
2326,ST-809,realtime_available,bikeList,
2327,ST-810,realtime_available,bikeList,
2328,ST-811,realtime_available,bikeList,
2329,ST-812,realtime_available,bikeList,
2330,ST-813,realtime_available,bikeList,
2331,ST-814,realtime_available,bikeList,
2332,ST-815,realtime_available,bikeList,
2333,ST-816,realtime_available,bikeList,
2334,ST-817,realtime_available,bikeList,
2335,ST-818,realtime_available,bikeList,
2336,ST-819,realtime_available,bikeList,
2337,ST-782,realtime_available,bikeList,
2339,ST-820,realtime_available,bikeList,
2340,ST-821,realtime_available,bikeList,
2341,ST-822,realtime_available,bikeList,
2342,ST-823,realtime_available,bikeList,
2344,ST-779,realtime_available,bikeList,
2347,ST-961,realtime_available,bikeList,
2348,ST-797,realtime_available,bikeList,
2349,ST-959,realtime_available,bikeList,
2350,ST-960,realtime_available,bikeList,
2351,ST-937,realtime_available,bikeList,
2352,ST-962,realtime_available,bikeList,
2353,ST-963,realtime_available,bikeList,
2354,ST-953,realtime_available,bikeList,
2356,ST-954,realtime_available,bikeList,
2357,ST-966,realtime_available,bikeList,
