,대여소번호,EMD_NM
0,2301,압구정동
1,2302,논현동
2,2303,논현동
3,2304,논현동
4,2305,논현동
5,2306,신사동
6,2307,압구정동
7,2308,압구정동
8,2309,청담동
9,2310,청담동
10,2311,청담동
11,2312,청담동
12,2313,청담동
13,2314,삼성동
14,2315,삼성동
15,2316,삼성동
16,2317,삼성동
17,2318,삼성동
18,2319,삼성동
19,2320,대치동
20,2321,대치동
21,2322,대치동
22,2323,대치동
23,2324,대치동
24,2325,대치동
25,2326,대치동
26,2327,역삼동
27,2328,역삼동
28,2329,역삼동
29,2330,역삼동
30,2331,역삼동
31,2332,역삼동
32,2333,도곡동
33,2334,도곡동
34,2335,도곡동
35,2336,도곡동
36,2337,개포동
37,2339,개포동
38,2340,개포동
39,2341,일원동
40,2342,개포동
41,2343,세곡동
42,2344,세곡동
43,2347,논현동
44,2348,삼성동
45,2349,역삼동
46,2350,역삼동
47,2351,수서동
48,2352,논현동
49,2353,논현동
50,2354,삼성동
51,2355,삼성동
52,2356,삼성동
53,2357,역삼동
54,2358,개포동
55,2359,개포동
56,2360,역삼동
57,2362,신사동
58,2363,논현동
59,2364,신사동
60,2365,신사동
61,2368,도곡동
62,2369,대치동
63,2370,대치동
64,2371,논현동
65,2372,대치동
66,2373,개포동
67,2375,수서동
68,2376,수서동
69,2377,수서동
70,2380,삼성동
71,2381,역삼동
72,2382,역삼동
73,2383,세곡동
74,2384,자곡동
75,2385,논현동
76,2386,논현동
77,2387,자곡동
78,2388,삼성동
79,2389,개포동
80,2390,개포동
81,2391,개포동
82,2392,개포동
83,2393,개포동
84,2394,개포동
85,2396,도곡동
86,2398,역삼동
87,2401,일원동
88,2403,일원동
89,2404,개포동
90,2405,삼성동
91,2406,논현동
92,2407,역삼동
93,2408,자곡동
94,2409,역삼동
95,2410,역삼동
96,2411,율현동
97,2412,일원동
98,2413,도곡동
99,2414,도곡동
100,2415,대치동
101,2416,도곡동
102,2417,역삼동
103,2418,삼성동
104,2419,삼성동
105,2420,대치동
106,2421,역삼동
107,2422,수서동
108,2423,일원동
109,2425,세곡동
110,2426,율현동
111,2427,개포동
112,2428,개포동
113,2429,신사동
114,2430,역삼동
115,2431,대치동
116,3603,대치동
117,3604,삼성동
118,3605,삼성동
119,3606,신사동
120,3609,도곡동
121,3610,세곡동
122,3611,율현동
123,3612,세곡동
124,3614,대치동
125,3615,논현동
126,3616,역삼동
127,3618,자곡동
128,3620,청담동
129,3621,대치동
130,3622,대치동
131,3623,일원동
132,3624,개포동
133,3627,압구정동
134,3602,수서동
135,3628,역삼동
136,3629,청담동
137,3630,개포동
138,3634,양재동
139,3636,삼성동
140,3637,세곡동
141,3638,청담동
142,3640,일원동
143,3641,일원동
144,3642,자곡동
145,3643,자곡동
146,3644,일원동
147,3646,역삼동
148,3647,개포동
149,3648,개포동
150,3649,개포동
151,3651,개포동
152,4901,대치동
153,4902,역삼동
154,4903,신사동
155,4905,대치동
156,4906,대치동
157,4907,신사동
158,4908,논현동
159,4909,역삼동
160,4911,역삼동
161,4913,삼성동
162,4914,삼성동
163,4915,역삼동
164,4916,삼성동
165,4917,일원동
166,4918,도곡동
167,4919,대치동
168,4923,대치동
169,4924,논현동
170,4926,대치동
171,4925,청담동
172,4928,자곡동
173,4929,청담동
174,4930,대치동
