date,total_increase,total_decrease,n_increase,n_decrease,abs_decrease,balance_ratio,imbalance
2022-01-16,0.0,-9.0,0,1,9.0,0.0,9.0
2022-02-01,162.0,-58.0,17,6,58.0,2.793103448227705,104.0
2022-03-01,127.0,-215.0,12,20,215.0,0.5906976744158573,88.0
2022-04-04,378.0,-180.0,24,16,180.0,2.0999999999883334,198.0
2022-04-05,0.0,-10.0,0,1,10.0,0.0,10.0
2022-04-06,8.0,0.0,1,0,0.0,7999999999.999999,8.0
2022-04-09,8.0,0.0,1,0,0.0,7999999999.999999,8.0
2022-04-10,8.0,-8.0,1,1,8.0,0.999999999875,0.0
2022-04-11,8.0,0.0,1,0,0.0,7999999999.999999,8.0
2022-04-15,0.0,-11.0,0,1,11.0,0.0,11.0
2022-04-16,11.0,-8.0,1,1,8.0,1.374999999828125,3.0
2022-04-17,24.0,0.0,3,0,0.0,24000000000.0,24.0
2022-04-18,8.0,-8.0,1,1,8.0,0.999999999875,0.0
2022-04-19,10.0,0.0,1,0,0.0,10000000000.0,10.0
2022-04-20,0.0,-9.0,0,1,9.0,0.0,9.0
2022-05-01,157.0,-125.0,13,11,125.0,1.255999999989952,32.0
2022-05-03,8.0,-9.0,1,1,9.0,0.8888888887901234,1.0
2022-05-04,8.0,-10.0,1,1,10.0,0.79999999992,2.0
2022-05-05,36.0,-30.0,3,3,30.0,1.19999999996,6.0
2022-05-06,8.0,-20.0,1,2,20.0,0.39999999998,12.0
2022-05-07,9.0,0.0,1,0,0.0,9000000000.0,9.0
2022-05-08,9.0,0.0,1,0,0.0,9000000000.0,9.0
2022-05-09,0.0,-8.0,0,1,8.0,0.0,8.0
2022-05-10,8.0,0.0,1,0,0.0,7999999999.999999,8.0
2022-05-11,14.0,0.0,1,0,0.0,14000000000.0,14.0
2022-05-12,17.0,-8.0,2,1,8.0,2.124999999734375,9.0
2022-05-13,0.0,-19.0,0,2,19.0,0.0,19.0
2022-05-14,0.0,-24.0,0,3,24.0,0.0,24.0
2022-05-17,16.0,-21.0,2,2,21.0,0.7619047618684808,5.0
