station_id,station_name,large_increase,large_decrease,total
2348,2348. 포스코사거리(기업은행),317,269,586
2377,2377. 수서역 5번출구,151,193,344
2405,2405. 청담공원앞 교차로,226,52,278
2384,2384. 자곡사거리,100,165,265
2323,2323. 주식회사 오뚜기 정문 앞,138,103,241
2333,2333. 양재역 3번출구 주변,182,56,238
2340,2340. 삼호물산버스정류장(23370) 옆,56,133,189
2301,2301. 현대고등학교 건너편,64,102,166
2388,2388. 강남구 도시관리공단,137,25,162
3642,3642. LH강남힐스테이트아파트,143,5,148
2341,2341. 일원역 4~5번 출구 사이,142,5,147
4905,4905. 강남경찰서,72,62,134
3644,3644. 상록수아파트,131,3,134
2335,2335. 3호선 매봉역 3번출구앞,37,93,130
2303,2303. 논현역 10번출구,112,16,128
2327,2327. 뱅뱅사거리 랜드마크타워 앞,52,62,114
2414,2414. 도곡역 아카데미스위트 앞,61,50,111
2410,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),86,25,111
2349,2349. 역삼빌딩 앞(하나은행 옆),88,16,104
4906,4906. 섬유센터 앞,43,57,100
