station_id,count
2301,313
2302,223
2303,267
2304,31
2305,51
2306,491
2307,94
2308,248
2309,46
2310,83
2311,39
2312,95
2313,104
2314,81
2315,135
2317,135
2318,47
2319,88
2320,136
2321,114
2323,36
2324,216
2325,229
2326,76
2327,197
2328,91
2329,88
2330,112
2331,130
2332,410
2333,185
2334,37
2335,327
2336,62
2337,120
2339,163
2340,322
2341,80
2342,343
2343,15
2344,108
2347,34
2348,227
2349,52
2350,53
2351,79
2352,28
2353,133
2354,30
2356,94
2357,69
2358,82
2359,175
2360,167
2362,190
2363,71
2364,87
2365,138
2368,55
2369,281
2370,63
2371,21
2372,213
2373,156
2375,206
2376,94
2377,345
2380,71
2381,83
2382,115
2383,62
2384,429
2385,122
2386,55
2387,170
2388,70
2389,209
2390,66
2392,10
2393,2
2394,238
2396,114
2398,53
2401,30
2403,263
2404,317
2405,200
2406,55
2407,302
2408,92
2409,158
2410,108
2411,129
2412,253
2413,263
2414,235
2415,323
2416,184
2417,68
2418,204
2419,159
2420,250
2421,201
2422,124
2423,371
2425,26
2426,144
2427,78
2428,105
2429,208
2430,89
2431,380
3602,112
3604,225
3606,128
3609,103
3610,23
3611,68
3612,157
3614,249
3615,95
3616,78
3618,169
3620,25
3621,41
3622,63
3623,140
3624,57
3627,269
3628,172
3629,56
3630,79
3634,48
3636,146
3637,24
3638,88
3640,109
3641,189
3642,71
3643,112
3644,73
3646,137
3647,83
3648,23
3649,84
3651,278
4901,54
4902,157
4903,55
4905,111
4906,259
4907,80
4908,85
4909,20
4911,72
4913,93
4914,187
4915,52
4916,49
4917,221
4918,205
4919,50
4923,210
4924,49
4925,57
4926,104
4928,35
4929,53
