feature,importance
bike_change_rollstd_168,2258
bike_change_rollstd_24,2250
bike_change_rollmean_168,2183
bike_change_rollmean_24,2137
bike_change_lag_168,1967
bike_change_lag_1,1707
rental_count_lag_1,1691
lat,1625
bike_change_rollmean_3,1622
temp_x_commute,1593
bike_change_lag_24,1590
wind_speed,1581
hour,1565
return_count_lag_1,1560
temperature,1553
humidity,1525
lon,1512
hour_sin,1343
return_count_lag_24,1266
station_id,1259
rental_count_lag_24,1116
day,1113
dayofyear,1057
bike_change_lag_2,992
bike_count_index_lag_1,800
weekday,781
hour_cos,729
is_weekend_or_holiday,723
bike_count_index_lag_168,556
cluster,532
precipitation,496
dock_total,492
qr_count,463
bike_count_index_lag_24,433
weekday_sin,402
cluster_2,366
bike_index_rollmean_24,285
is_commute_hour,271
bike_index_rollmean_168,270
bike_count_index_lag_2,267
month_cos,241
year,240
weekday_cos,238
lcd_count,223
cluster_0,214
bike_index_rollmean_3,202
weekofyear,178
month_sin,170
cluster_1,134
month,95
cluster_3,90
is_holiday,87
rain_x_commute,69
is_lunch_hour,51
is_rainy,26
is_holiday_eve,23
is_weekend,18
is_night_hour,10
is_qr_mixed,2
rain_x_night,0
heavy_rain,0
cluster_4,0
