feature,importance_mean,importance_std,scope,cluster,cluster_name
return_count_deseasonalized,0.5077564102198361,0.0034284435341387833,cluster,0,cluster_0
bike_change_seasonal_expected,0.12545012358283356,0.00920346800149096,cluster,0,cluster_0
total_return_count,0.02825842236976835,0.0034199556574377684,cluster,0,cluster_0
temperature,0.015432095460524672,0.0035100259507067845,cluster,0,cluster_0
precipitation,0.011051898481241587,0.0007232572723858909,cluster,0,cluster_0
wind_speed,0.007212149084706576,0.0019507573289045778,cluster,0,cluster_0
return_7_10_count,0.0019238127125745057,0.001008351879871125,cluster,0,cluster_0
bus_stop_count_300m,0.0009487262410979117,0.00017930967915799243,cluster,0,cluster_0
morning_net_inflow,0.0003308621202605666,9.750840026745619e-05,cluster,0,cluster_0
heavy_rain,0.0,0.0,cluster,0,cluster_0
is_rainy,0.0,0.0,cluster,0,cluster_0
evening_net_inflow,-8.852037762629994e-05,0.00012212161133137486,cluster,0,cluster_0
arrival_17_20_ratio,-9.226776571813478e-05,0.0009396199436585147,cluster,0,cluster_0
qr_ratio,-0.00011837111813643257,5.438524099328579e-05,cluster,0,cluster_0
dock_total,-0.0001185754202375211,0.0002948026291477317,cluster,0,cluster_0
arrival_7_10_ratio,-0.0003101095857104645,0.0002855639510570283,cluster,0,cluster_0
dominant_ratio,-0.0004971068812779089,0.00014756319747037168,cluster,0,cluster_0
arrival_11_14_ratio,-0.0005063207833682822,0.0006584247289177634,cluster,0,cluster_0
life_pop_7_10_mean,-0.0006195661859953461,0.0003507046393782493,cluster,0,cluster_0
subway_distance_m,-0.002744298418760375,0.001159567367028257,cluster,0,cluster_0
return_count_deseasonalized,0.5818721689141667,0.0,cluster,1,cluster_1
bike_change_seasonal_expected,0.34092841836257615,0.0,cluster,1,cluster_1
temperature,0.02457786787534073,0.0,cluster,1,cluster_1
wind_speed,0.022395735452044086,0.0,cluster,1,cluster_1
is_rainy,0.006270210879815996,0.0,cluster,1,cluster_1
evening_net_inflow,0.0022247476374158393,0.0,cluster,1,cluster_1
total_return_count,0.0021464394535388185,0.0,cluster,1,cluster_1
qr_ratio,0.0019072853943885178,0.0,cluster,1,cluster_1
arrival_11_14_ratio,0.0018593003053246212,0.0,cluster,1,cluster_1
precipitation,0.001768709629747566,0.0,cluster,1,cluster_1
dock_total,0.0017587708604333537,0.0,cluster,1,cluster_1
subway_distance_m,0.0016944896121136792,0.0,cluster,1,cluster_1
arrival_7_10_ratio,0.0016439069738513465,0.0,cluster,1,cluster_1
morning_net_inflow,0.0016283541532169368,0.0,cluster,1,cluster_1
life_pop_7_10_mean,0.001555536983052148,0.0,cluster,1,cluster_1
arrival_17_20_ratio,0.001519973997681742,0.0,cluster,1,cluster_1
return_7_10_count,0.0015087778541159863,0.0,cluster,1,cluster_1
bus_stop_count_300m,0.0014948170022439477,0.0,cluster,1,cluster_1
dominant_ratio,0.0011942466469116475,0.0,cluster,1,cluster_1
heavy_rain,5.0242012020041576e-05,0.0,cluster,1,cluster_1
return_count_deseasonalized,0.42346828619675775,0.012256020793759124,cluster,2,cluster_2
bike_change_seasonal_expected,0.11416278370657144,0.0035469914160603496,cluster,2,cluster_2
temperature,0.020645270720415814,0.005887060491630462,cluster,2,cluster_2
total_return_count,0.010678172845450732,0.0006105979997022536,cluster,2,cluster_2
precipitation,0.010059221864349007,0.0005757346872652605,cluster,2,cluster_2
return_7_10_count,0.0016739766756455055,0.0004416230470557039,cluster,2,cluster_2
wind_speed,0.0002476768943084906,0.0004585999571495969,cluster,2,cluster_2
heavy_rain,0.0,0.0,cluster,2,cluster_2
is_rainy,0.0,0.0,cluster,2,cluster_2
arrival_17_20_ratio,0.0,0.0,cluster,2,cluster_2
qr_ratio,-2.2672421578902775e-05,4.48576212704947e-05,cluster,2,cluster_2
evening_net_inflow,-9.467171659364541e-05,0.0004262751835171959,cluster,2,cluster_2
dock_total,-0.0005828201442874548,0.00015893098799613765,cluster,2,cluster_2
bus_stop_count_300m,-0.0007025836348179363,0.00037460648196004087,cluster,2,cluster_2
arrival_11_14_ratio,-0.0009024301573796745,0.0009043722041556998,cluster,2,cluster_2
subway_distance_m,-0.0013003148773501987,5.926534208393864e-05,cluster,2,cluster_2
arrival_7_10_ratio,-0.0015305825168845377,0.0008454707469232202,cluster,2,cluster_2
life_pop_7_10_mean,-0.007926723058357954,0.001531089108033326,cluster,2,cluster_2
morning_net_inflow,-0.009843448919675035,0.0003080793352863431,cluster,2,cluster_2
dominant_ratio,-0.011698977828362711,0.0026692896656245638,cluster,2,cluster_2
return_count_deseasonalized,0.33878960510135975,0.0011322192230815277,cluster,3,cluster_3
bike_change_seasonal_expected,0.06303798916065458,0.004277486609998623,cluster,3,cluster_3
temperature,0.022293251676563448,0.0012209034890996876,cluster,3,cluster_3
total_return_count,0.015219003091936393,0.003254657627813464,cluster,3,cluster_3
precipitation,0.006818264764144229,0.00029869753789794445,cluster,3,cluster_3
life_pop_7_10_mean,0.0016840779039006455,0.0004924316466039736,cluster,3,cluster_3
arrival_11_14_ratio,0.00014262102129014576,0.0001770493101972555,cluster,3,cluster_3
bus_stop_count_300m,3.676466543774589e-05,0.00024037957972784197,cluster,3,cluster_3
heavy_rain,0.0,0.0,cluster,3,cluster_3
is_rainy,0.0,0.0,cluster,3,cluster_3
arrival_17_20_ratio,0.0,0.0,cluster,3,cluster_3
qr_ratio,-8.226697336977118e-05,4.929390594968823e-05,cluster,3,cluster_3
dock_total,-0.0002443413971463156,0.0005513736610029718,cluster,3,cluster_3
subway_distance_m,-0.0003742833587940438,0.00015173626825165805,cluster,3,cluster_3
evening_net_inflow,-0.0006070461529094814,0.00011059398212222959,cluster,3,cluster_3
arrival_7_10_ratio,-0.0007014592666206484,2.006776411561948e-05,cluster,3,cluster_3
dominant_ratio,-0.0008322728119080821,0.0003713856819278657,cluster,3,cluster_3
morning_net_inflow,-0.0015781681577426987,0.0009420608049362643,cluster,3,cluster_3
return_7_10_count,-0.002402897137452823,0.002374184197030878,cluster,3,cluster_3
wind_speed,-0.003699044522381382,0.00032589905906327255,cluster,3,cluster_3
return_count_deseasonalized,0.3533528444144429,0.007547715987076328,cluster,4,cluster_4
bike_change_seasonal_expected,0.08863802252031945,0.0029093935655937616,cluster,4,cluster_4
temperature,0.022096445687558752,0.0006347210499888003,cluster,4,cluster_4
precipitation,0.0035666663909865726,0.00025341989212043157,cluster,4,cluster_4
wind_speed,0.0009628827312132918,0.0013286251971895834,cluster,4,cluster_4
subway_distance_m,0.0004076269191762849,0.0005123602385167467,cluster,4,cluster_4
arrival_11_14_ratio,0.00021861490984272555,3.849324248478854e-05,cluster,4,cluster_4
qr_ratio,2.4456783721427122e-05,0.00014996998289405555,cluster,4,cluster_4
arrival_17_20_ratio,0.0,0.0,cluster,4,cluster_4
is_rainy,0.0,0.0,cluster,4,cluster_4
heavy_rain,0.0,0.0,cluster,4,cluster_4
life_pop_7_10_mean,-6.793812331677233e-05,2.6356123750080465e-05,cluster,4,cluster_4
dock_total,-9.412994317622066e-05,5.209358889735758e-05,cluster,4,cluster_4
arrival_7_10_ratio,-0.000170026204784679,0.0002656456649324889,cluster,4,cluster_4
total_return_count,-0.00024840224696257945,0.0006408282761835606,cluster,4,cluster_4
bus_stop_count_300m,-0.00043904403562526156,7.000946023361986e-05,cluster,4,cluster_4
morning_net_inflow,-0.0007721625458705731,0.00013382392178871056,cluster,4,cluster_4
dominant_ratio,-0.0012533098471255721,0.0005404262941880324,cluster,4,cluster_4
evening_net_inflow,-0.0015682298615331918,0.00046412370837409375,cluster,4,cluster_4
return_7_10_count,-0.0021618155074191923,0.0009218302127764234,cluster,4,cluster_4
