feature,importance_mean,importance_std,scope
return_count_deseasonalized,3971,0.0,global
bike_change_seasonal_expected,3043,0.0,global
temperature,2558,0.0,global
wind_speed,2329,0.0,global
total_return_count,1294,0.0,global
subway_distance_m,706,0.0,global
morning_net_inflow,701,0.0,global
dominant_ratio,643,0.0,global
arrival_11_14_ratio,631,0.0,global
return_7_10_count,626,0.0,global
evening_net_inflow,574,0.0,global
arrival_17_20_ratio,536,0.0,global
arrival_7_10_ratio,505,0.0,global
life_pop_7_10_mean,458,0.0,global
dock_total,405,0.0,global
precipitation,382,0.0,global
bus_stop_count_300m,360,0.0,global
qr_ratio,93,0.0,global
is_rainy,35,0.0,global
cluster_0,29,0.0,global
cluster_3,29,0.0,global
cluster_2,14,0.0,global
cluster_4,13,0.0,global
heavy_rain,8,0.0,global
cluster_1,0,0.0,global
