month_pattern_group,weekday_pattern_group,hour_pattern_group,balanced_count,representative_pool_count,sample_count
1,1,1,546,728,546
1,1,2,546,728,546
1,1,3,546,728,546
1,1,4,546,728,546
1,1,5,546,728,546
1,1,6,546,728,546
1,1,7,546,728,546
1,1,8,546,728,546
1,1,9,546,728,546
1,1,10,546,728,546
1,1,11,546,728,546
1,1,12,546,728,546
1,1,13,546,728,546
1,1,14,546,728,546
1,1,15,546,728,546
1,1,16,546,728,546
1,1,17,546,728,546
1,1,18,546,728,546
1,1,19,546,728,546
1,1,20,546,728,546
1,2,1,546,546,546
1,2,2,546,546,546
1,2,3,546,546,546
1,2,4,546,546,546
1,2,5,546,546,546
1,2,6,546,546,546
1,2,7,546,546,546
1,2,8,546,546,546
1,2,9,546,546,546
1,2,10,546,546,546
1,2,11,546,546,546
1,2,12,546,546,546
1,2,13,546,546,546
1,2,14,546,546,546
1,2,15,546,546,546
1,2,16,546,546,546
1,2,17,546,546,546
1,2,18,546,546,546
1,2,19,546,546,546
1,2,20,546,546,546
2,1,1,728,728,728
2,1,2,728,728,728
2,1,3,728,728,728
2,1,4,728,728,728
2,1,5,728,728,728
2,1,6,728,728,728
2,1,7,728,728,728
2,1,8,728,728,728
2,1,9,728,728,728
2,1,10,728,728,728
2,1,11,728,728,728
2,1,12,728,728,728
2,1,13,728,728,728
2,1,14,728,728,728
2,1,15,728,728,728
2,1,16,728,728,728
2,1,17,728,728,728
2,1,18,728,728,728
2,1,19,728,728,728
2,1,20,728,728,728
2,2,1,728,728,728
2,2,2,728,728,728
2,2,3,728,728,728
2,2,4,728,728,728
2,2,5,728,728,728
2,2,6,728,728,728
2,2,7,728,728,728
2,2,8,728,728,728
2,2,9,728,728,728
2,2,10,728,728,728
2,2,11,728,728,728
2,2,12,728,728,728
2,2,13,728,728,728
2,2,14,728,728,728
2,2,15,728,728,728
2,2,16,728,728,728
2,2,17,728,728,728
2,2,18,728,728,728
2,2,19,728,728,728
2,2,20,728,728,728
3,1,1,728,728,728
3,1,2,728,728,728
3,1,3,728,728,728
3,1,4,728,728,728
3,1,5,728,728,728
3,1,6,728,728,728
3,1,7,728,728,728
3,1,8,728,728,728
3,1,9,728,728,728
3,1,10,728,728,728
3,1,11,728,728,728
3,1,12,728,728,728
3,1,13,728,728,728
3,1,14,728,728,728
3,1,15,728,728,728
3,1,16,728,728,728
3,1,17,728,728,728
3,1,18,728,728,728
3,1,19,728,728,728
3,1,20,728,728,728
3,2,1,728,728,728
3,2,2,728,728,728
3,2,3,728,728,728
3,2,4,728,728,728
3,2,5,728,728,728
3,2,6,728,728,728
3,2,7,728,728,728
3,2,8,728,728,728
3,2,9,728,728,728
3,2,10,728,728,728
3,2,11,728,728,728
3,2,12,728,728,728
3,2,13,728,728,728
3,2,14,728,728,728
3,2,15,728,728,728
3,2,16,728,728,728
3,2,17,728,728,728
3,2,18,728,728,728
3,2,19,728,728,728
3,2,20,728,728,728
4,1,1,728,728,728
4,1,2,728,728,728
4,1,3,728,728,728
4,1,4,728,728,728
4,1,5,728,728,728
4,1,6,728,728,728
4,1,7,728,728,728
4,1,8,728,728,728
4,1,9,728,728,728
4,1,10,728,728,728
4,1,11,728,728,728
4,1,12,728,728,728
4,1,13,728,728,728
4,1,14,728,728,728
4,1,15,728,728,728
4,1,16,728,728,728
4,1,17,728,728,728
4,1,18,728,728,728
4,1,19,728,728,728
4,1,20,728,728,728
4,2,1,728,728,728
4,2,2,728,728,728
4,2,3,728,728,728
4,2,4,728,728,728
4,2,5,728,728,728
4,2,6,728,728,728
4,2,7,728,728,728
4,2,8,728,728,728
4,2,9,728,728,728
4,2,10,728,728,728
4,2,11,728,728,728
4,2,12,728,728,728
4,2,13,728,728,728
4,2,14,728,728,728
4,2,15,728,728,728
4,2,16,728,728,728
4,2,17,728,728,728
4,2,18,728,728,728
4,2,19,728,728,728
4,2,20,728,728,728
5,1,1,728,728,728
5,1,2,728,728,728
5,1,3,728,728,728
5,1,4,728,728,728
5,1,5,728,728,728
5,1,6,728,728,728
5,1,7,728,728,728
5,1,8,728,728,728
5,1,9,728,728,728
5,1,10,728,728,728
5,1,11,728,728,728
5,1,12,728,728,728
5,1,13,728,728,728
5,1,14,728,728,728
5,1,15,728,728,728
5,1,16,728,728,728
5,1,17,728,728,728
5,1,18,728,728,728
5,1,19,728,728,728
5,1,20,728,728,728
5,2,1,910,910,910
5,2,2,910,910,910
5,2,3,910,910,910
5,2,4,910,910,910
5,2,5,910,910,910
5,2,6,910,910,910
5,2,7,910,910,910
5,2,8,910,910,910
5,2,9,910,910,910
5,2,10,910,910,910
5,2,11,910,910,910
5,2,12,910,910,910
5,2,13,910,910,910
5,2,14,910,910,910
5,2,15,910,910,910
5,2,16,910,910,910
5,2,17,910,910,910
5,2,18,910,910,910
5,2,19,910,910,910
5,2,20,910,910,910
