reason,dropped_column,kept_column,metric
correlation,pattern_weight_combined,hour_scale_weight,0.9351757959864979
correlation,is_weekend_or_holiday,weekday_pattern_group,0.923289140589371
vif,bike_change_resid_trend_24_168,,750599937895082.6
vif,bike_change_resid_trend_1_24,,692861481133922.5
vif,lon,,2850821.8223148286
vif,weekday_scale_weight,,10374.88262580246
vif,rental_count_deseasonalized,,739.5932382530677
vif,lat,,653.8714185299447
vif,hour_pattern_corr,,101.69445242165246
vif,month_pattern_corr,,74.08512057592445
vif,weekday_pattern_corr,,52.36992249954873
vif,month_scale_weight,,34.8065404430342
vif,station_activity_total,,30.356728672207822
vif,humidity,,17.53608060780965
vif,bike_change_resid_rollstd_168,,17.40549566481842
