hour,hour_pattern_group,representative_hour,hour_pattern_corr,hour_scale_weight,is_representative_hour
0,1,0,1.0,1.0,1
1,2,1,1.0,1.0,1
2,3,2,1.0,1.0,1
3,4,3,1.0,1.0,1
4,5,4,1.0,1.0,1
5,6,5,1.0,1.0,1
6,7,6,1.0,1.0,1
7,7,6,0.6634816439007296,2.042947965295065,0
8,8,8,1.0,1.0,1
9,9,9,1.0,1.0,1
10,10,10,1.0,1.0,1
11,11,11,1.0,1.0,1
12,12,12,1.0,1.0,1
13,8,8,0.6125926379045546,0.6132413181407781,0
14,13,14,1.0,1.0,1
15,14,15,1.0,1.0,1
16,15,16,1.0,1.0,1
17,7,6,0.7133320198240435,2.855665743261437,0
18,16,18,1.0,1.0,1
19,17,19,1.0,1.0,1
20,18,20,1.0,1.0,1
21,19,21,1.0,1.0,1
22,1,0,0.6912726436124608,1.6314504080723395,0
23,20,23,1.0,1.0,1
