month,month_pattern_group,representative_month,month_pattern_corr,month_scale_weight,is_representative_month
1,1,1,1.0,1.0,1
2,2,2,1.0,1.0,1
3,3,3,1.0,1.0,1
4,3,3,0.8476887495402005,1.1477254987601793,0
5,3,3,0.8141987861861159,1.2230565748409727,0
6,4,6,1.0,1.0,1
7,4,6,0.7831160838809536,0.844175442407096,0
8,4,6,0.8169129434071218,0.9398560341655714,0
9,4,6,0.7810629196321672,1.0122361064496568,0
10,3,3,0.8554219863274116,1.397022631503692,0
11,3,3,0.8268442444580103,1.1504332437938873,0
12,5,12,1.0,1.0,1
