station_id,train_cluster,test_cluster,cluster_changed
2301,2,2,0
2302,2,2,0
2303,2,3,1
2304,3,3,0
2305,0,0,0
2306,2,2,0
2307,3,3,0
2308,3,3,0
2309,3,2,1
2310,3,0,1
2311,3,3,0
2312,2,2,0
2313,0,0,0
2314,2,3,1
2315,3,3,0
2317,3,3,0
2318,3,3,0
2319,0,0,0
2320,3,3,0
2321,3,3,0
2323,1,0,1
2324,3,3,0
2325,3,3,0
2326,3,3,0
2327,0,0,0
2328,0,0,0
2329,0,0,0
2330,3,3,0
2331,0,0,0
2332,3,3,0
2333,2,2,0
2334,0,0,0
2335,0,0,0
2336,0,0,0
2337,2,2,0
2339,2,2,0
2340,0,0,0
2341,0,3,1
2342,0,3,1
2344,4,4,0
2347,0,0,0
2348,1,1,0
2349,3,3,0
2350,3,3,0
2351,2,2,0
2352,0,0,0
2353,3,2,1
2354,2,3,1
2356,3,3,0
2357,0,0,0
2358,2,2,0
2359,4,4,0
2360,0,3,1
2362,3,3,0
2363,0,0,0
2364,0,0,0
2365,0,0,0
2368,3,3,0
2369,3,3,0
2370,3,3,0
2371,3,3,0
2372,3,3,0
2373,3,3,0
2375,0,0,0
2376,0,0,0
2377,1,0,1
2380,0,0,0
2381,3,3,0
2382,3,3,0
2383,4,4,0
2384,2,2,0
2385,3,3,0
2386,3,3,0
2387,4,4,0
2388,3,0,1
2389,2,2,0
2390,2,2,0
2391,4,0,1
2392,4,0,1
2394,2,2,0
2396,3,3,0
2398,0,0,0
2401,0,3,1
2403,2,3,1
2404,2,2,0
2405,2,2,0
2406,3,3,0
2407,3,3,0
2408,4,4,0
2409,3,3,0
2410,0,0,0
2411,4,4,0
2413,3,0,1
2414,0,0,0
2415,3,3,0
2416,3,2,1
2417,3,2,1
2418,2,2,0
2419,3,3,0
2420,2,2,0
2422,2,3,1
2423,2,3,1
2425,4,4,0
2426,4,4,0
2427,3,2,1
2430,3,3,0
2431,3,3,0
3602,0,0,0
3604,3,3,0
3606,3,0,1
3609,3,0,1
3610,4,4,0
3611,4,4,0
3612,4,4,0
3614,3,3,0
3615,3,2,1
3616,3,2,1
3618,4,4,0
3620,2,2,0
3622,3,2,1
3623,2,3,1
3624,3,2,1
3627,2,2,0
3628,0,0,0
3629,0,0,0
3630,2,4,1
3634,4,4,0
3636,3,3,0
3637,4,4,0
3638,4,4,0
3640,0,0,0
3641,0,0,0
3642,4,4,0
3643,4,4,0
3644,3,3,0
3646,2,3,1
3647,0,0,0
3648,3,3,0
3649,0,0,0
3651,2,2,0
4902,0,0,0
4903,0,0,0
4905,0,0,0
4906,0,0,0
4907,3,2,1
4908,0,0,0
4909,3,3,0
4913,0,3,1
4914,0,0,0
4915,0,0,0
4916,2,3,1
4917,2,2,0
4918,3,3,0
4919,3,3,0
4923,3,3,0
4924,0,0,0
4925,0,0,0
4926,0,0,0
4928,0,0,0
4929,0,0,0
4930,3,0,1
