target,feature,category,description,source,importance_mean,importance_std
bike_change,bike_change_lag_168,lag,bike_change의 168시간 전 값,station-hour 집계 파생,0.052706024894664916,0.004461675069380657
bike_change,hour_sin,calendar,시간의 주기성(sin),time 파생,0.033374891442159216,0.0066883540512852335
bike_change,bike_change_lag_24,lag,bike_change의 24시간 전 값,station-hour 집계 파생,0.03226355859914872,0.0022559939306711816
bike_change,hour,calendar,시간(0~23),time 파생,0.007750082337355006,0.0011076829702341663
bike_change,is_weekend_or_holiday,calendar,주말 또는 공휴일 여부,휴일 캘린더,0.0076759228385666995,0.004093016925808523
bike_change,bike_change_lag_1,lag,bike_change의 1시간 전 값,station-hour 집계 파생,0.006792598187695213,0.0002478408612830775
bike_change,cluster_2,cluster,cluster 2 여부,cluster dummy,0.0065676502368262986,0.0010408838801536425
bike_change,bike_change_rollmean_24,rolling,bike_change의 직전 24시간 이동평균,station-hour 집계 파생,0.006550200584060158,0.0023196732071560137
bike_change,return_count_lag_24,lag,return_count의 24시간 전 값,station-hour 집계 파생,0.005329513153475999,0.00044494583466117343
bike_change,cluster,cluster,train 기준 cluster 라벨,works/01_clustering 결과,0.005253389318017036,0.002384960414585716
bike_change,rental_count_lag_1,lag,rental_count의 1시간 전 값,station-hour 집계 파생,0.005029841335975949,0.00019976175893785867
bike_change,bike_change_rollstd_168,rolling,bike_change의 직전 168시간 이동표준편차,station-hour 집계 파생,0.004119162608285709,0.0003858839331513198
bike_change,is_commute_hour,calendar,출퇴근 시간대 여부,time 파생,0.003836929123470334,0.0005867557606553682
bike_change,bike_change_rollmean_3,rolling,bike_change의 직전 3시간 이동평균,station-hour 집계 파생,0.0036472535931093564,0.00036314712704311553
bike_change,hour_cos,calendar,시간의 주기성(cos),time 파생,0.003364764158358291,0.0005765212660749893
bike_change,cluster_1,cluster,cluster 1 여부,cluster dummy,0.0021226901247435315,0.00012202667814840286
bike_change,bike_change_rollmean_168,rolling,bike_change의 직전 168시간 이동평균,station-hour 집계 파생,0.0017703824840304971,0.001417908193542576
bike_change,bike_count_index_lag_24,lag,bike_count_index의 24시간 전 값,station-hour 집계 파생,0.0017003382157323443,0.0006677727733743188
bike_change,bike_change_rollstd_24,rolling,bike_change의 직전 24시간 이동표준편차,station-hour 집계 파생,0.0013725870739529356,0.00012035781173359958
bike_change,cluster_0,cluster,cluster 0 여부,cluster dummy,0.0011529152402628788,0.0005970543737520757
bike_change,dock_total,station_meta,총 거치면 수,대여소 정보,0.0010408351939838283,0.00015752462645914569
bike_change,precipitation,weather,강수량,gangnam_weather,0.0008916521944093425,0.0008338060415541873
bike_change,weekday_sin,calendar,요일의 주기성(sin),time 파생,0.0007866758952997562,0.00038600819445355636
bike_change,lon,station_meta,대여소 경도,대여소 정보,0.0006399190111941641,0.00019664072720716746
bike_change,bike_index_rollmean_168,rolling,bike_index의 직전 168시간 이동평균,station-hour 집계 파생,0.0004887825221343937,0.0003197838106895453
bike_change,weekday,calendar,요일(0~6),time 파생,0.0004155452431823618,0.00043336997657769953
bike_change,bike_index_rollmean_24,rolling,bike_index의 직전 24시간 이동평균,station-hour 집계 파생,0.00036322143350009384,3.4064917679425035e-05
bike_change,wind_speed,weather,풍속,gangnam_weather,0.0003498480462664766,0.00010330874912730509
bike_change,station_id,identifier,station 고유 식별자,시간별 집계 데이터,0.00032796718662475577,0.00010454047809402978
bike_change,bike_change_lag_2,lag,bike_change의 2시간 전 값,station-hour 집계 파생,0.0002993641664181812,4.7978327043019944e-05
bike_change,bike_index_rollmean_3,rolling,bike_index의 직전 3시간 이동평균,station-hour 집계 파생,0.00024113789829745733,0.00012405648875799346
bike_change,bike_count_index_lag_1,lag,bike_count_index의 1시간 전 값,station-hour 집계 파생,0.00014414181057402034,0.00026122543335012544
bike_change,rain_x_commute,weather_interaction,출퇴근 시간대 강수 상호작용,weather x calendar,0.00010552772080663075,2.4040351261056632e-05
bike_change,return_count_lag_1,lag,return_count의 1시간 전 값,station-hour 집계 파생,8.500495145654281e-05,0.0011563929475864976
bike_change,bike_count_index_lag_168,lag,bike_count_index의 168시간 전 값,station-hour 집계 파생,7.502701556168685e-05,0.00017341379489185175
bike_change,is_night_hour,calendar,심야 시간대 여부,time 파생,3.5995774435212034e-05,7.900439307432292e-06
bike_change,lcd_count,station_meta,LCD 거치대 수,대여소 정보,3.427238899145202e-05,0.00013251409897127245
bike_change,dayofyear,calendar,연중 몇 번째 날인지,time 파생,3.077933669670685e-05,0.00011381476074015139
bike_change,month_sin,calendar,월의 주기성(sin),time 파생,2.9056574980386902e-05,3.457053628044964e-06
bike_change,month,calendar,월,time 파생,1.9858639787410464e-05,2.7596390153189434e-05
bike_change,cluster_3,cluster,cluster 3 여부,cluster dummy,1.599514467002609e-05,0.00016678049867255144
bike_change,is_lunch_hour,calendar,점심 시간대 여부,time 파생,1.12373100098484e-05,4.48882433938944e-05
bike_change,is_holiday,calendar,공휴일 여부,휴일 캘린더,3.6159590425614376e-06,0.0001199092836103038
bike_change,weekday_cos,calendar,요일의 주기성(cos),time 파생,2.620098359458941e-06,4.8179136992506654e-05
bike_change,is_rainy,weather,강수 여부,gangnam_weather 파생,0.0,0.0
bike_change,heavy_rain,weather,강한 비 여부,gangnam_weather 파생,0.0,0.0
