target,best_model,feature_set,evaluation_stage,fit_period,data_split,metric_scope,rmse,mae,r2,nrmse_std,nmae_std
bike_change,lightgbm_leafy,enhanced,selection,train_2023,train,all_hours,1.0669540770022876,0.6024926990567537,0.24568995263742932,0.8685102459744335,0.4904344934186512
bike_change,lightgbm_leafy,enhanced,selection,train_2023,train,active_hours,1.7102812493808743,1.4129709265105403,0.267739856030594,0.8557220015690878,0.7069657752666286
bike_change,lightgbm_leafy,enhanced,selection,train_2023,valid,all_hours,1.1138456543670847,0.6342601060354413,0.22404066410948875,0.8808855407432403,0.501605006300777
bike_change,lightgbm_leafy,enhanced,selection,train_2023,valid,active_hours,1.7611438062135538,1.4361092540792295,0.25171025846263473,0.8650374220444832,0.7053871708488321
bike_change,lightgbm_leafy,enhanced,final,train_valid_2023_2024,test,all_hours,1.043379077378734,0.5828034216939321,0.22201631685905143,0.8820338333312099,0.49268031845788085
bike_change,lightgbm_leafy,enhanced,final,train_valid_2023_2024,test,active_hours,1.7001803867432606,1.397419258230184,0.249031648865086,0.8665843012280536,0.7122665341032992
bike_count_index,gbm,basic,selection,train_2023,train,all_hours,1.9643205982660608,1.2800589517460572,0.9999928912442514,0.00266622499961782,0.0017374583258672569
bike_count_index,gbm,basic,selection,train_2023,train,all_hours_duplicate,1.9643205982660608,1.2800589517460572,0.9999928912442514,0.00266622499961782,0.0017374583258672569
bike_count_index,gbm,basic,selection,train_2023,valid,all_hours,431.7656563638983,59.662990779598715,0.9525444665814417,0.2178429099570568,0.030102346809202072
bike_count_index,gbm,basic,selection,train_2023,valid,all_hours_duplicate,431.7656563638983,59.662990779598715,0.9525444665814417,0.2178429099570568,0.030102346809202072
bike_count_index,gbm,basic,final,train_valid_2023_2024,test,all_hours,335.4758828655067,43.3364810852168,0.988552475651385,0.10699310421057497,0.013821275607847737
bike_count_index,gbm,basic,final,train_valid_2023_2024,test,all_hours_duplicate,335.4758828655067,43.3364810852168,0.988552475651385,0.10699310421057497,0.013821275607847737
