target,feature,alpha,coefficient
rental_count,intercept,10.0,0.7561799809244414
rental_count,base_value,10.0,-0.007255564419223285
rental_count,month_weight,10.0,-0.16600543063493184
rental_count,year_weight,10.0,-7.374938456357887e-28
rental_count,hour_weight,10.0,-0.7104592070328973
rental_count,pattern_prior,10.0,-0.4038004376506008
rental_count,corrected_pattern_prior,10.0,1.4153784261980236
rental_count,day_type_weekday,10.0,-0.041315419487024545
rental_count,day_type_offday,10.0,0.04131541948702633
return_count,intercept,0.001,0.25810211197233235
return_count,base_value,0.001,0.0965163295525293
return_count,month_weight,0.001,0.10937632804159308
return_count,year_weight,0.001,0.0
return_count,hour_weight,0.001,-0.3657351223737347
return_count,pattern_prior,0.001,-0.4114269137915099
return_count,corrected_pattern_prior,0.001,1.3072975797238602
return_count,day_type_weekday,0.001,0.0073789720249969465
return_count,day_type_offday,0.001,-0.0073789714841303415
