target,time,split,day_type,month,hour,actual_value,pattern_prior,prediction,abs_error
rental_count,2025-04-06 15:00:00,test,offday,4,15,15,2.739377611363412,2.2095365374309415,12.790463462569058
rental_count,2025-10-08 20:00:00,test,offday,10,20,12,1.954656994951412,1.6796304832999873,10.320369516700012
rental_count,2025-04-18 18:00:00,test,weekday,4,18,14,3.327304678720416,4.671128547821236,9.328871452178763
rental_count,2025-08-09 21:00:00,test,offday,8,21,10,1.5027111104117268,1.3427021969627704,8.65729780303723
rental_count,2025-04-10 19:00:00,test,weekday,4,19,12,3.0649058713904154,3.3697101422233793,8.63028985777662
rental_count,2025-10-20 18:00:00,test,weekday,10,18,13,3.274250874976729,4.601946376186034,8.398053623813965
rental_count,2025-11-13 18:00:00,test,weekday,11,18,12,2.507964674361354,3.602709003710779,8.397290996289222
rental_count,2025-04-17 18:00:00,test,weekday,4,18,13,3.327304678720416,4.671128547821236,8.328871452178763
rental_count,2025-05-25 13:00:00,test,offday,5,13,10,2.7369256599223992,1.6946676129585383,8.305332387041462
rental_count,2025-06-07 21:00:00,test,offday,6,21,10,1.920555110409474,1.7467561910037397,8.25324380899626
rental_count,2025-05-21 18:00:00,test,weekday,5,18,13,3.6114452921850138,5.041647969655876,7.958352030344124
rental_count,2025-04-08 19:00:00,test,weekday,4,19,11,3.0649058713904154,3.3697101422233793,7.630289857776621
rental_count,2025-09-21 13:00:00,test,offday,9,13,9,2.5361986464227035,1.5665696127705775,7.433430387229422
rental_count,2025-10-22 18:00:00,test,weekday,10,18,12,3.274250874976729,4.601946376186034,7.398053623813966
rental_count,2025-10-08 14:00:00,test,offday,10,14,9,2.6255071574599653,1.7506218518823113,7.249378148117689
rental_count,2025-02-28 17:00:00,test,weekday,2,17,10,1.6509404101895775,2.7735374280344853,7.226462571965515
rental_count,2025-04-20 14:00:00,test,offday,4,14,9,2.668049145468296,1.7792942563327656,7.220705743667234
rental_count,2025-09-21 14:00:00,test,offday,9,14,9,2.6835059329057254,1.7897118057153631,7.210288194284637
rental_count,2025-05-21 17:00:00,test,weekday,5,17,13,3.8090960729443677,5.881648307097462,7.118351692902538
rental_count,2025-05-15 18:00:00,test,weekday,5,18,12,3.6114452921850138,5.041647969655876,6.958352030344124
rental_count,2025-03-14 17:00:00,test,weekday,3,17,11,2.5325831001786403,4.043252714791676,6.956747285208324
rental_count,2025-07-11 18:00:00,test,weekday,7,18,11,2.8833997580584168,4.092276434609591,6.907723565390409
rental_count,2025-08-27 18:00:00,test,weekday,8,18,11,2.9644305671142273,4.1979406272643045,6.8020593727356955
rental_count,2025-08-28 18:00:00,test,weekday,8,18,11,2.9644305671142273,4.1979406272643045,6.8020593727356955
rental_count,2025-10-31 17:00:00,test,weekday,10,17,12,3.453447343283079,5.369453702759149,6.630546297240851
rental_count,2025-03-08 09:00:00,test,offday,3,9,8,1.042457746891499,1.3963079190199235,6.6036920809800765
rental_count,2025-09-11 17:00:00,test,weekday,9,17,12,3.529735734425995,5.479321949313174,6.520678050686826
rental_count,2025-03-23 15:00:00,test,offday,3,15,8,1.976888384276687,1.6015587773146176,6.398441222685382
rental_count,2025-10-28 18:00:00,test,weekday,10,18,11,3.274250874976729,4.601946376186034,6.398053623813966
rental_count,2025-04-12 12:00:00,test,offday,4,12,8,2.309982113500435,1.6794808350814738,6.320519164918526
rental_count,2025-06-05 19:00:00,test,weekday,6,19,10,3.489933322398036,3.806649917269376,6.193350082730624
rental_count,2025-07-21 21:00:00,test,weekday,7,21,8,2.058139273397814,1.8317696860474053,6.168230313952595
rental_count,2025-06-20 17:00:00,test,weekday,6,17,0,3.996073294839672,6.150927278739369,6.150927278739369
rental_count,2025-06-14 12:00:00,test,offday,6,12,8,2.630320111068002,1.9202216958868152,6.0797783041131845
rental_count,2025-10-31 13:00:00,test,weekday,10,13,8,3.2310680099448024,2.007450805580918,5.992549194419082
rental_count,2025-03-28 17:00:00,test,weekday,3,17,10,2.5325831001786403,4.043252714791676,5.956747285208324
rental_count,2025-08-19 18:00:00,test,weekday,8,18,10,2.9644305671142273,4.1979406272643045,5.8020593727356955
rental_count,2025-08-20 18:00:00,test,weekday,8,18,10,2.9644305671142273,4.1979406272643045,5.8020593727356955
rental_count,2025-08-21 18:00:00,test,weekday,8,18,10,2.9644305671142273,4.1979406272643045,5.8020593727356955
rental_count,2025-06-10 18:00:00,test,weekday,6,18,11,3.7887204238247536,5.272814779918993,5.727185220081007
rental_count,2025-06-16 18:00:00,test,weekday,6,18,11,3.7887204238247536,5.272814779918993,5.727185220081007
rental_count,2025-06-30 18:00:00,test,weekday,6,18,11,3.7887204238247536,5.272814779918993,5.727185220081007
rental_count,2025-03-23 14:00:00,test,offday,3,14,7,1.925413766425025,1.2787736426046248,5.721226357395375
rental_count,2025-08-17 21:00:00,test,offday,8,21,7,1.5027111104117268,1.3427021969627704,5.657297803037229
rental_count,2025-04-17 19:00:00,test,weekday,4,19,9,3.0649058713904154,3.3697101422233793,5.630289857776621
rental_count,2025-04-23 19:00:00,test,weekday,4,19,9,3.0649058713904154,3.3697101422233793,5.630289857776621
rental_count,2025-04-29 19:00:00,test,weekday,4,19,9,3.0649058713904154,3.3697101422233793,5.630289857776621
rental_count,2025-04-11 17:00:00,test,weekday,4,17,11,3.5094047285249776,5.450041846068636,5.549958153931364
rental_count,2025-09-08 17:00:00,test,weekday,9,17,11,3.529735734425995,5.479321949313174,5.520678050686826
rental_count,2025-09-15 17:00:00,test,weekday,9,17,11,3.529735734425995,5.479321949313174,5.520678050686826
rental_count,2025-03-24 19:00:00,test,weekday,3,19,8,2.211807817556603,2.492702149326373,5.507297850673627
rental_count,2025-06-15 15:00:00,test,offday,6,15,8,3.119262257862176,2.512441035325743,5.487558964674257
rental_count,2025-08-10 20:00:00,test,offday,8,20,7,1.7697009683470841,1.5137457385962592,5.486254261403741
rental_count,2025-05-20 20:00:00,test,weekday,5,20,8,2.974084839241458,2.5180928770686704,5.48190712293133
rental_count,2025-10-16 18:00:00,test,weekday,10,18,10,3.274250874976729,4.601946376186034,5.398053623813966
rental_count,2025-11-14 18:00:00,test,weekday,11,18,9,2.507964674361354,3.602709003710779,5.397290996289221
rental_count,2025-10-10 17:00:00,test,weekday,10,17,0,3.453447343283079,5.369453702759149,5.369453702759149
rental_count,2025-05-27 19:00:00,test,weekday,5,19,9,3.326638510447392,3.6387784110155037,5.361221588984496
rental_count,2025-10-25 12:00:00,test,offday,10,12,7,2.273149496852834,1.6518003354067938,5.348199664593206
rental_count,2025-11-30 16:00:00,test,offday,11,16,7,2.0582834940375934,1.6560288927676414,5.343971107232359
rental_count,2025-04-11 18:00:00,test,weekday,4,18,10,3.327304678720416,4.671128547821236,5.328871452178764
rental_count,2025-11-07 12:00:00,test,weekday,11,12,7,2.2670746117361857,1.6798623853280852,5.320137614671915
rental_count,2025-09-11 18:00:00,test,weekday,9,18,10,3.3465807258824025,4.696264517518178,5.303735482481822
rental_count,2025-09-22 18:00:00,test,weekday,9,18,10,3.3465807258824025,4.696264517518178,5.303735482481822
rental_count,2025-09-26 18:00:00,test,weekday,9,18,10,3.3465807258824025,4.696264517518178,5.303735482481822
rental_count,2025-12-09 19:00:00,test,weekday,12,19,7,1.453724159738745,1.71337153873237,5.28662846126763
rental_count,2025-12-12 19:00:00,test,weekday,12,19,7,1.453724159738745,1.71337153873237,5.28662846126763
rental_count,2025-06-20 18:00:00,test,weekday,6,18,0,3.7887204238247536,5.272814779918993,5.272814779918993
rental_count,2025-02-11 17:00:00,test,weekday,2,17,8,1.6509404101895775,2.7735374280344853,5.226462571965515
rental_count,2025-06-01 13:00:00,test,offday,6,13,7,2.871273218142608,1.7804042222872598,5.21959577771274
rental_count,2025-06-09 19:00:00,test,weekday,6,19,9,3.489933322398036,3.806649917269376,5.193350082730624
rental_count,2025-06-30 19:00:00,test,weekday,6,19,9,3.489933322398036,3.806649917269376,5.193350082730624
rental_count,2025-09-11 08:00:00,test,weekday,9,8,8,1.5669574802899195,2.816021822277756,5.183978177722244
rental_count,2025-07-11 21:00:00,test,weekday,7,21,7,2.058139273397814,1.8317696860474053,5.168230313952595
rental_count,2025-08-29 17:00:00,test,weekday,8,17,10,3.1266708805324943,4.8988400688934775,5.1011599311065225
rental_count,2025-07-31 19:00:00,test,weekday,7,19,8,2.656008301421176,2.9493523234150807,5.050647676584919
rental_count,2025-05-09 18:00:00,test,weekday,5,18,0,3.6114452921850138,5.041647969655876,5.041647969655876
rental_count,2025-05-16 18:00:00,test,weekday,5,18,0,3.6114452921850138,5.041647969655876,5.041647969655876
rental_count,2025-08-11 19:00:00,test,weekday,8,19,8,2.7306488367550723,3.0260848230237247,4.973915176976275
rental_count,2025-07-25 20:00:00,test,weekday,7,20,7,2.374527318597605,2.032675535087903,4.967324464912097
rental_count,2025-08-08 20:00:00,test,weekday,8,20,7,2.441257528036427,2.086702045940153,4.913297954059847
rental_count,2025-07-25 18:00:00,test,weekday,7,18,9,2.8833997580584168,4.092276434609591,4.907723565390409
rental_count,2025-07-31 18:00:00,test,weekday,7,18,9,2.8833997580584168,4.092276434609591,4.907723565390409
rental_count,2025-03-01 13:00:00,test,offday,3,13,6,1.8197208839121803,1.1093348492150388,4.890665150784962
rental_count,2025-03-08 13:00:00,test,offday,3,13,6,1.8197208839121803,1.1093348492150388,4.890665150784962
rental_count,2025-03-22 13:00:00,test,offday,3,13,6,1.8197208839121803,1.1093348492150388,4.890665150784962
rental_count,2025-05-01 17:00:00,test,weekday,5,17,1,3.8090960729443677,5.881648307097462,4.881648307097462
rental_count,2025-05-09 17:00:00,test,weekday,5,17,1,3.8090960729443677,5.881648307097462,4.881648307097462
rental_count,2025-05-16 17:00:00,test,weekday,5,17,1,3.8090960729443677,5.881648307097462,4.881648307097462
rental_count,2025-09-12 00:00:00,test,weekday,9,0,6,1.2977804021822126,1.1216966671109048,4.878303332889095
rental_count,2025-11-10 08:00:00,test,weekday,11,8,7,1.1742952968084148,2.14605732359371,4.85394267640629
rental_count,2025-10-04 16:00:00,test,offday,10,16,7,2.6871736273633524,2.155028550682494,4.844971449317506
rental_count,2025-10-19 16:00:00,test,offday,10,16,7,2.6871736273633524,2.155028550682494,4.844971449317506
rental_count,2025-10-03 15:00:00,test,offday,10,15,7,2.6956982924532435,2.174708432939715,4.825291567060285
rental_count,2025-10-08 15:00:00,test,offday,10,15,7,2.6956982924532435,2.174708432939715,4.825291567060285
rental_count,2025-08-04 18:00:00,test,weekday,8,18,9,2.9644305671142273,4.1979406272643045,4.8020593727356955
rental_count,2025-08-26 18:00:00,test,weekday,8,18,9,2.9644305671142273,4.1979406272643045,4.8020593727356955
rental_count,2025-11-06 17:00:00,test,weekday,11,17,9,2.645223067026771,4.205473407404313,4.794526592595687
rental_count,2025-11-12 17:00:00,test,weekday,11,17,9,2.645223067026771,4.205473407404313,4.794526592595687
rental_count,2025-04-20 15:00:00,test,offday,4,15,7,2.739377611363412,2.2095365374309415,4.7904634625690585
rental_count,2025-04-27 15:00:00,test,offday,4,15,7,2.739377611363412,2.2095365374309415,4.7904634625690585
rental_count,2025-01-24 17:00:00,test,weekday,1,17,7,1.2634681654747206,2.2155115544068362,4.784488445593164
rental_count,2025-11-05 16:00:00,test,weekday,11,16,7,2.7126021268616505,2.2233883004845634,4.776611699515437
rental_count,2025-11-14 16:00:00,test,weekday,11,16,7,2.7126021268616505,2.2233883004845634,4.776611699515437
rental_count,2025-02-27 09:00:00,test,weekday,2,9,6,0.9046564117434527,1.2535373764233149,4.746462623576685
rental_count,2025-06-18 18:00:00,test,weekday,6,18,10,3.7887204238247536,5.272814779918993,4.727185220081007
rental_count,2025-05-13 21:00:00,test,weekday,5,21,7,2.5778102286374103,2.278024199654247,4.721975800345753
rental_count,2025-08-28 09:00:00,test,weekday,8,9,7,1.7133040308586691,2.2863754080457337,4.713624591954266
rental_count,2025-06-15 17:00:00,test,offday,6,17,0,3.0091221701046678,4.707768543455462,4.707768543455462
rental_count,2025-06-28 17:00:00,test,offday,6,17,0,3.0091221701046678,4.707768543455462,4.707768543455462
rental_count,2025-06-29 17:00:00,test,offday,6,17,0,3.0091221701046678,4.707768543455462,4.707768543455462
rental_count,2025-07-06 11:00:00,test,offday,7,11,6,1.7744632107205545,1.2934317675638087,4.706568232436191
rental_count,2025-09-24 18:00:00,test,weekday,9,18,0,3.3465807258824025,4.696264517518178,4.696264517518178
rental_count,2025-09-11 23:00:00,test,weekday,9,23,6,1.6339411634882026,1.326102272648041,4.673897727351959
rental_count,2025-05-29 12:00:00,test,weekday,5,12,7,3.2645658917311975,2.366379615269711,4.633620384730289
rental_count,2025-05-30 12:00:00,test,weekday,5,12,7,3.2645658917311975,2.366379615269711,4.633620384730289
