row_feature,col_feature,correlation,target
base_value,base_value,1.0,rental_count
month_weight,base_value,-0.0017817416299283609,rental_count
year_weight,base_value,0.0024289784244271757,rental_count
hour_weight,base_value,0.08336948854017681,rental_count
pattern_prior,base_value,0.8906868555870119,rental_count
corrected_pattern_prior,base_value,0.8046954590373248,rental_count
day_type_weekday,base_value,0.43563737499436667,rental_count
day_type_offday,base_value,-0.4356373749943657,rental_count
rental_count,base_value,0.4830915210692553,rental_count
base_value,month_weight,-0.0017817416299283609,rental_count
month_weight,month_weight,1.0,rental_count
year_weight,month_weight,-0.0010161893454062893,rental_count
hour_weight,month_weight,-2.2357963311336677e-15,rental_count
pattern_prior,month_weight,0.36254286785291207,rental_count
corrected_pattern_prior,month_weight,0.3379305801616879,rental_count
day_type_weekday,month_weight,-0.004089965031010866,rental_count
day_type_offday,month_weight,0.004089965031010691,rental_count
rental_count,month_weight,0.1993782776114975,rental_count
base_value,year_weight,0.0024289784244271757,rental_count
month_weight,year_weight,-0.0010161893454062893,rental_count
year_weight,year_weight,1.0,rental_count
hour_weight,year_weight,-4.5263405940066656e-15,rental_count
pattern_prior,year_weight,0.1409008361843605,rental_count
corrected_pattern_prior,year_weight,0.13135329261777257,rental_count
day_type_weekday,year_weight,0.005575688781199308,rental_count
day_type_offday,year_weight,-0.005575688781193624,rental_count
rental_count,year_weight,0.06551479397986015,rental_count
base_value,hour_weight,0.08336948854017681,rental_count
month_weight,hour_weight,-2.2357963311336677e-15,rental_count
year_weight,hour_weight,-4.5263405940066656e-15,rental_count
hour_weight,hour_weight,1.0,rental_count
pattern_prior,hour_weight,0.07427919559893176,rental_count
corrected_pattern_prior,hour_weight,0.424065691217215,rental_count
day_type_weekday,hour_weight,-6.297879384530242e-17,rental_count
day_type_offday,hour_weight,6.157452848383045e-17,rental_count
rental_count,hour_weight,0.2839214349610122,rental_count
base_value,pattern_prior,0.8906868555870119,rental_count
month_weight,pattern_prior,0.36254286785291207,rental_count
year_weight,pattern_prior,0.1409008361843605,rental_count
hour_weight,pattern_prior,0.07427919559893176,rental_count
pattern_prior,pattern_prior,1.0,rental_count
corrected_pattern_prior,pattern_prior,0.9078540787645873,rental_count
day_type_weekday,pattern_prior,0.3874102873250696,rental_count
day_type_offday,pattern_prior,-0.3874102873250696,rental_count
rental_count,pattern_prior,0.5417682060209287,rental_count
base_value,corrected_pattern_prior,0.8046954590373248,rental_count
month_weight,corrected_pattern_prior,0.3379305801616879,rental_count
year_weight,corrected_pattern_prior,0.13135329261777257,rental_count
hour_weight,corrected_pattern_prior,0.424065691217215,rental_count
pattern_prior,corrected_pattern_prior,0.9078540787645873,rental_count
corrected_pattern_prior,corrected_pattern_prior,1.0,rental_count
day_type_weekday,corrected_pattern_prior,0.36408137466697715,rental_count
day_type_offday,corrected_pattern_prior,-0.36408137466697627,rental_count
rental_count,corrected_pattern_prior,0.6212482114442679,rental_count
base_value,day_type_weekday,0.43563737499436667,rental_count
month_weight,day_type_weekday,-0.004089965031010866,rental_count
year_weight,day_type_weekday,0.005575688781199308,rental_count
hour_weight,day_type_weekday,-6.297879384530242e-17,rental_count
pattern_prior,day_type_weekday,0.3874102873250696,rental_count
corrected_pattern_prior,day_type_weekday,0.36408137466697715,rental_count
day_type_weekday,day_type_weekday,1.0,rental_count
day_type_offday,day_type_weekday,-0.9999999999999996,rental_count
rental_count,day_type_weekday,0.22169456142746663,rental_count
base_value,day_type_offday,-0.4356373749943657,rental_count
month_weight,day_type_offday,0.004089965031010691,rental_count
year_weight,day_type_offday,-0.005575688781193624,rental_count
hour_weight,day_type_offday,6.157452848383045e-17,rental_count
pattern_prior,day_type_offday,-0.3874102873250696,rental_count
corrected_pattern_prior,day_type_offday,-0.36408137466697627,rental_count
day_type_weekday,day_type_offday,-0.9999999999999996,rental_count
day_type_offday,day_type_offday,1.0,rental_count
rental_count,day_type_offday,-0.2216945614274666,rental_count
base_value,rental_count,0.4830915210692553,rental_count
month_weight,rental_count,0.1993782776114975,rental_count
year_weight,rental_count,0.06551479397986015,rental_count
hour_weight,rental_count,0.2839214349610122,rental_count
pattern_prior,rental_count,0.5417682060209287,rental_count
corrected_pattern_prior,rental_count,0.6212482114442679,rental_count
day_type_weekday,rental_count,0.22169456142746663,rental_count
day_type_offday,rental_count,-0.2216945614274666,rental_count
rental_count,rental_count,1.0,rental_count
base_value,base_value,1.0,return_count
month_weight,base_value,-0.0016066603481701843,return_count
year_weight,base_value,0.002148294079314243,return_count
hour_weight,base_value,-0.18903530543878203,return_count
pattern_prior,base_value,0.8988591477203925,return_count
corrected_pattern_prior,base_value,0.8351267428776801,return_count
day_type_weekday,base_value,0.3622163400862051,return_count
day_type_offday,base_value,-0.36221634008620524,return_count
return_count,base_value,0.5481514883085118,return_count
base_value,month_weight,-0.0016066603481701843,return_count
month_weight,month_weight,1.0,return_count
year_weight,month_weight,-0.0009277245090038548,return_count
hour_weight,month_weight,1.6731890433311376e-15,return_count
pattern_prior,month_weight,0.3450081346699839,return_count
corrected_pattern_prior,month_weight,0.3238104325778147,return_count
day_type_weekday,month_weight,-0.004435637408814227,return_count
day_type_offday,month_weight,0.004435637408814023,return_count
return_count,month_weight,0.20678395875012254,return_count
base_value,year_weight,0.002148294079314243,return_count
month_weight,year_weight,-0.0009277245090038548,return_count
year_weight,year_weight,1.0,return_count
hour_weight,year_weight,-8.307458829152388e-15,return_count
pattern_prior,year_weight,0.11059905640546157,return_count
corrected_pattern_prior,year_weight,0.10379217702279227,return_count
day_type_weekday,year_weight,0.005930969538268906,return_count
day_type_offday,year_weight,-0.0059309695382632,return_count
return_count,year_weight,0.06833875277173553,return_count
base_value,hour_weight,-0.18903530543878203,return_count
month_weight,hour_weight,1.6731890433311376e-15,return_count
year_weight,hour_weight,-8.307458829152388e-15,return_count
hour_weight,hour_weight,1.0,return_count
pattern_prior,hour_weight,-0.16999535372049482,return_count
corrected_pattern_prior,hour_weight,0.09942385491133633,return_count
day_type_weekday,hour_weight,-2.4828826516188964e-16,return_count
day_type_offday,hour_weight,2.5159056530324563e-16,return_count
return_count,hour_weight,0.08117895774749483,return_count
base_value,pattern_prior,0.8988591477203925,return_count
month_weight,pattern_prior,0.3450081346699839,return_count
year_weight,pattern_prior,0.11059905640546157,return_count
hour_weight,pattern_prior,-0.16999535372049482,return_count
pattern_prior,pattern_prior,1.0,return_count
corrected_pattern_prior,pattern_prior,0.9303493254195835,return_count
day_type_weekday,pattern_prior,0.32486256228033517,return_count
day_type_offday,pattern_prior,-0.3248625622803358,return_count
return_count,pattern_prior,0.6046872413061989,return_count
base_value,corrected_pattern_prior,0.8351267428776801,return_count
month_weight,corrected_pattern_prior,0.3238104325778147,return_count
year_weight,corrected_pattern_prior,0.10379217702279227,return_count
hour_weight,corrected_pattern_prior,0.09942385491133633,return_count
pattern_prior,corrected_pattern_prior,0.9303493254195835,return_count
corrected_pattern_prior,corrected_pattern_prior,1.0,return_count
day_type_weekday,corrected_pattern_prior,0.30290721170557483,return_count
day_type_offday,corrected_pattern_prior,-0.3029072117055747,return_count
return_count,corrected_pattern_prior,0.6689504922272561,return_count
base_value,day_type_weekday,0.3622163400862051,return_count
month_weight,day_type_weekday,-0.004435637408814227,return_count
year_weight,day_type_weekday,0.005930969538268906,return_count
hour_weight,day_type_weekday,-2.4828826516188964e-16,return_count
pattern_prior,day_type_weekday,0.32486256228033517,return_count
corrected_pattern_prior,day_type_weekday,0.30290721170557483,return_count
day_type_weekday,day_type_weekday,1.0,return_count
day_type_offday,day_type_weekday,-0.9999999999999996,return_count
return_count,day_type_weekday,0.2155603260834907,return_count
base_value,day_type_offday,-0.36221634008620524,return_count
month_weight,day_type_offday,0.004435637408814023,return_count
year_weight,day_type_offday,-0.0059309695382632,return_count
hour_weight,day_type_offday,2.5159056530324563e-16,return_count
pattern_prior,day_type_offday,-0.3248625622803358,return_count
corrected_pattern_prior,day_type_offday,-0.3029072117055747,return_count
day_type_weekday,day_type_offday,-0.9999999999999996,return_count
day_type_offday,day_type_offday,1.0,return_count
return_count,day_type_offday,-0.21556032608349018,return_count
base_value,return_count,0.5481514883085118,return_count
month_weight,return_count,0.20678395875012254,return_count
year_weight,return_count,0.06833875277173553,return_count
hour_weight,return_count,0.08117895774749483,return_count
