date,holiday_name
2023-01-01,1월1일
2023-01-21,설날
2023-01-22,설날
2023-01-23,설날
2023-01-24,대체공휴일
2023-03-01,삼일절
2023-05-05,어린이날
2023-05-27,부처님오신날
2023-05-29,대체공휴일
2023-06-06,현충일
2023-08-15,광복절
2023-09-28,추석
2023-09-29,추석
2023-09-30,추석
2023-10-02,임시공휴일
2023-10-03,개천절
2023-10-09,한글날
2023-12-25,기독탄신일
2024-01-01,1월1일
2024-02-09,설날
2024-02-10,설날
2024-02-11,설날
2024-02-12,대체공휴일(설날)
2024-03-01,삼일절
2024-04-10,국회의원선거
2024-05-05,어린이날
2024-05-06,대체공휴일(어린이날)
2024-05-15,부처님오신날
2024-06-06,현충일
2024-08-15,광복절
2024-09-16,추석
2024-09-17,추석
2024-09-18,추석
2024-10-01,임시공휴일
2024-10-03,개천절
2024-10-09,한글날
2024-12-25,기독탄신일
2025-01-01,1월1일
2025-01-27,임시공휴일
2025-01-28,설날
2025-01-29,설날
2025-01-30,설날
2025-03-01,삼일절
2025-03-03,대체공휴일
2025-05-05,부처님오신날 | 어린이날
2025-05-06,대체공휴일
2025-06-03,임시공휴일(제21대 대통령 선거)
2025-06-06,현충일
2025-08-15,광복절
2025-10-03,개천절
2025-10-05,추석
2025-10-06,추석
2025-10-07,추석
2025-10-08,대체공휴일
2025-10-09,한글날
2025-12-25,기독탄신일
