target,time,split,day_type,month,hour,actual_value,pattern_prior,prediction,abs_error
rental_count,2025-04-20 14:00:00,test,offday,4,14,10,2.5307013050081366,1.5217643931609262,8.478235606839075
rental_count,2025-08-20 19:00:00,test,weekday,8,19,11,2.700968040371742,3.2090010689143806,7.790998931085619
rental_count,2025-09-02 17:00:00,test,weekday,9,17,11,3.40939104351468,3.44411541629149,7.55588458370851
rental_count,2025-04-20 11:00:00,test,offday,4,11,9,1.737857389396259,1.6249078468934666,7.375092153106533
rental_count,2025-06-26 19:00:00,test,weekday,6,19,11,3.289460060848023,3.901030225079473,7.098969774920527
rental_count,2025-08-17 21:00:00,test,offday,8,21,8,1.7845908872855318,1.4421585241153458,6.557841475884654
rental_count,2025-09-30 17:00:00,test,weekday,9,17,10,3.40939104351468,3.44411541629149,6.55588458370851
rental_count,2025-09-19 07:00:00,test,weekday,9,7,9,1.4010941675876565,2.4479943118348,6.5520056881652
rental_count,2025-10-01 17:00:00,test,weekday,10,17,10,3.449067222954233,3.483236726830091,6.516763273169909
rental_count,2025-07-15 08:00:00,test,weekday,7,8,10,1.4083116700187008,3.5511162144700954,6.448883785529905
rental_count,2025-10-14 19:00:00,test,weekday,10,19,10,3.111324725252768,3.691554409459407,6.308445590540593
rental_count,2025-06-03 15:00:00,test,offday,6,15,8,2.965193307219309,1.814277564069199,6.185722435930801
rental_count,2025-06-01 17:00:00,test,offday,6,17,9,3.032438321369486,3.032423610439463,5.967576389560537
rental_count,2025-06-30 21:00:00,test,weekday,6,21,8,2.6924441468068085,2.1952002307711975,5.8047997692288025
rental_count,2025-08-22 19:00:00,test,weekday,8,19,9,2.700968040371742,3.2090010689143806,5.790998931085619
rental_count,2025-08-27 19:00:00,test,weekday,8,19,9,2.700968040371742,3.2090010689143806,5.790998931085619
rental_count,2025-07-31 20:00:00,test,weekday,7,20,8,2.388427573488497,2.221162516053025,5.778837483946975
rental_count,2025-06-22 20:00:00,test,offday,6,20,8,2.484769145272351,2.273718903681563,5.726281096318437
rental_count,2025-03-24 17:00:00,test,weekday,3,17,8,2.3202269309813297,2.370183196108025,5.629816803891975
rental_count,2025-09-14 09:00:00,test,offday,9,9,7,1.1466141516461361,1.3809533969669294,5.619046603033071
rental_count,2025-09-11 17:00:00,test,weekday,9,17,9,3.40939104351468,3.44411541629149,5.55588458370851
rental_count,2025-05-16 23:00:00,test,weekday,5,23,7,1.8739319738788918,1.4456863643126745,5.5543136356873255
rental_count,2025-09-10 07:00:00,test,weekday,9,7,8,1.4010941675876565,2.4479943118348,5.5520056881652
rental_count,2025-08-24 17:00:00,test,offday,8,17,8,2.4899280851295695,2.491211115983093,5.508788884016907
rental_count,2025-03-15 16:00:00,test,offday,3,16,7,1.9372470788606593,1.5062082219450548,5.493791778054945
rental_count,2025-09-10 18:00:00,test,weekday,9,18,10,3.2778849184349585,4.512154978241207,5.487845021758793
rental_count,2025-04-11 20:00:00,test,weekday,4,20,8,2.722785614224116,2.522641157206615,5.477358842793385
rental_count,2025-04-29 19:00:00,test,weekday,4,19,9,2.9735937873552944,3.5295915936273827,5.470408406372617
rental_count,2025-11-26 17:00:00,test,weekday,11,17,8,2.497542828304357,2.54501934163895,5.45498065836105
rental_count,2025-08-02 22:00:00,test,offday,8,22,7,1.502446770175903,1.579837990675915,5.420162009324085
rental_count,2025-02-22 13:00:00,test,offday,2,13,6,1.091738701576355,0.6187497741220355,5.381250225877965
rental_count,2025-09-30 19:00:00,test,weekday,9,19,9,3.07553375044303,3.6494665013245378,5.350533498675462
rental_count,2025-05-11 15:00:00,test,offday,5,15,7,2.7569713916444,1.692172314894274,5.3078276851057264
rental_count,2025-06-28 15:00:00,test,offday,6,15,7,2.965193307219309,1.814277564069199,5.185722435930801
rental_count,2025-06-18 18:00:00,test,weekday,6,18,10,3.505886261756894,4.825411477309185,5.174588522690815
rental_count,2025-10-26 17:00:00,test,offday,10,17,8,2.8682215781785665,2.868599691042384,5.131400308957616
rental_count,2025-08-23 16:00:00,test,offday,8,16,7,2.499944201413176,1.9290488370721899,5.07095116292781
rental_count,2025-11-21 16:00:00,test,weekday,11,16,7,2.5354149460272186,2.00214750225519,4.997852497744811
rental_count,2025-07-16 07:00:00,test,weekday,7,7,7,1.1883027375367055,2.0516011105764447,4.948398889423555
rental_count,2025-09-10 21:00:00,test,weekday,9,21,7,2.517344090370978,2.057173007317302,4.942826992682698
rental_count,2025-02-10 18:00:00,test,weekday,2,18,7,1.4957570403336349,2.063646860474539,4.936353139525461
rental_count,2025-08-05 22:00:00,test,weekday,8,22,7,1.9316652145214193,2.070260240392062,4.929739759607938
rental_count,2025-03-10 18:00:00,test,weekday,3,18,8,2.230731754539374,3.07344619990425,4.92655380009575
rental_count,2025-03-14 18:00:00,test,weekday,3,18,8,2.230731754539374,3.07344619990425,4.92655380009575
rental_count,2025-06-05 00:00:00,test,weekday,6,0,6,1.7041806549203466,1.0735023764308869,4.926497623569113
rental_count,2025-04-07 08:00:00,test,weekday,4,8,9,1.6054624381472065,4.090727515279035,4.909272484720965
rental_count,2025-06-20 18:00:00,test,weekday,6,18,0,3.505886261756894,4.825411477309185,4.825411477309185
rental_count,2025-06-10 21:00:00,test,weekday,6,21,7,2.6924441468068085,2.1952002307711975,4.8047997692288025
rental_count,2025-08-05 19:00:00,test,weekday,8,19,8,2.700968040371742,3.2090010689143806,4.790998931085619
rental_count,2025-10-11 16:00:00,test,offday,10,16,7,2.8797594378564257,2.2144622535897636,4.785537746410236
rental_count,2025-04-19 13:00:00,test,offday,4,13,6,2.313196337188829,1.230421963429114,4.769578036570886
rental_count,2025-06-08 13:00:00,test,offday,6,13,6,2.5589127191613357,1.3534699291773278,4.646530070822672
rental_count,2025-09-26 09:00:00,test,weekday,9,9,7,1.9592838276597087,2.3933067796286274,4.606693220371373
rental_count,2025-04-20 12:00:00,test,offday,4,12,6,2.042772042387048,1.3946160935341443,4.605383906465856
rental_count,2025-10-10 18:00:00,test,weekday,10,18,0,3.3160307188275,4.564564405795505,4.564564405795505
rental_count,2025-10-13 18:00:00,test,weekday,10,18,0,3.3160307188275,4.564564405795505,4.564564405795505
rental_count,2025-06-20 08:00:00,test,weekday,6,8,0,1.7760006736407412,4.557499011864556,4.557499011864556
rental_count,2025-09-18 07:00:00,test,weekday,9,7,7,1.4010941675876565,2.4479943118348,4.5520056881652
rental_count,2025-05-19 18:00:00,test,weekday,5,18,9,3.259695785259645,4.48716449311264,4.51283550688736
rental_count,2025-09-19 18:00:00,test,weekday,9,18,0,3.2778849184349585,4.512154978241207,4.512154978241207
rental_count,2025-03-18 19:00:00,test,weekday,3,19,7,2.0930236936281803,2.494097215278795,4.505902784721205
rental_count,2025-09-29 18:00:00,test,weekday,9,18,9,3.2778849184349585,4.512154978241207,4.487845021758793
rental_count,2025-05-09 18:00:00,test,weekday,5,18,0,3.259695785259645,4.48716449311264,4.48716449311264
rental_count,2025-04-16 20:00:00,test,weekday,4,20,7,2.722785614224116,2.522641157206615,4.477358842793385
rental_count,2025-04-08 19:00:00,test,weekday,4,19,8,2.9735937873552944,3.5295915936273827,4.470408406372617
rental_count,2025-04-28 19:00:00,test,weekday,4,19,8,2.9735937873552944,3.5295915936273827,4.470408406372617
rental_count,2025-11-04 17:00:00,test,weekday,11,17,7,2.497542828304357,2.54501934163895,4.45498065836105
rental_count,2025-11-10 17:00:00,test,weekday,11,17,7,2.497542828304357,2.54501934163895,4.45498065836105
rental_count,2025-10-20 18:00:00,test,weekday,10,18,9,3.3160307188275,4.564564405795505,4.435435594204495
rental_count,2025-09-21 14:00:00,test,offday,9,14,6,2.6174581440611466,1.5715283057158425,4.428471694284157
rental_count,2025-04-16 16:00:00,test,weekday,4,16,7,3.3463707938320786,2.601671906837818,4.398328093162182
rental_count,2025-09-11 20:00:00,test,weekday,9,20,7,2.816127437236427,2.606804127843237,4.393195872156763
rental_count,2025-01-25 14:00:00,test,offday,1,14,5,0.9608209874084416,0.6212776107992382,4.378722389200762
rental_count,2025-06-18 07:00:00,test,weekday,6,7,7,1.4985507166366814,2.629538810369751,4.370461189630249
rental_count,2025-04-14 18:00:00,test,weekday,4,18,0,3.1692379339747907,4.362882287605219,4.362882287605219
rental_count,2025-10-03 21:00:00,test,offday,10,21,6,2.0557228627214896,1.6609053831682155,4.339094616831785
rental_count,2025-01-02 18:00:00,test,weekday,1,18,6,1.2032515710281175,1.6617665998679052,4.338233400132095
rental_count,2025-04-12 00:00:00,test,offday,4,0,5,1.0305579684198447,0.6649038692955741,4.335096130704426
rental_count,2025-11-07 19:00:00,test,weekday,11,19,7,2.2529763126580225,2.682191313621934,4.317808686378066
rental_count,2025-10-12 11:00:00,test,offday,10,11,6,1.8183514801464566,1.7017211924835185,4.298278807516482
rental_count,2025-10-10 08:00:00,test,weekday,10,8,0,1.6798242586169232,4.294259457127873,4.294259457127873
rental_count,2025-10-13 08:00:00,test,weekday,10,8,0,1.6798242586169232,4.294259457127873,4.294259457127873
rental_count,2025-10-01 16:00:00,test,weekday,10,16,7,3.501368019729947,2.7162584405189207,4.283741559481079
rental_count,2025-10-08 15:00:00,test,offday,10,15,6,2.804618107911327,1.720113245828833,4.279886754171167
rental_count,2025-11-11 22:00:00,test,weekday,11,22,6,1.611272664930629,1.7284732220625503,4.271526777937449
rental_count,2025-12-08 19:00:00,test,weekday,12,19,6,1.4495694134279782,1.7374359402501556,4.262564059749844
rental_count,2025-07-03 21:00:00,test,weekday,7,21,6,2.1350220014548253,1.7557975681978468,4.244202431802153
rental_count,2025-09-02 08:00:00,test,weekday,9,8,0,1.6605004807942594,4.241369331533059,4.241369331533059
rental_count,2025-06-30 13:00:00,test,weekday,6,13,6,3.3481008605753906,1.7681539353073286,4.231846064692672
rental_count,2025-05-09 08:00:00,test,weekday,5,8,0,1.651286287759911,4.216149634260926,4.216149634260926
rental_count,2025-03-14 08:00:00,test,weekday,3,8,7,1.1300369729588333,2.789464750019232,4.210535249980768
rental_count,2025-09-21 17:00:00,test,offday,9,17,7,2.8352271287660273,2.8356841678376234,4.1643158321623766
rental_count,2025-08-10 07:00:00,test,offday,8,7,5,0.5395934785323477,0.8529542908395575,4.147045709160443
rental_count,2025-06-02 19:00:00,test,weekday,6,19,8,3.289460060848023,3.901030225079473,4.098969774920527
rental_count,2025-08-09 16:00:00,test,offday,8,16,6,2.499944201413176,1.9290488370721899,4.07095116292781
rental_count,2025-03-22 17:00:00,test,offday,3,17,6,1.9294854288202399,1.93210909770009,4.06789090229991
rental_count,2025-05-11 19:00:00,test,offday,5,19,7,2.5500364818046752,2.991955325121075,4.008044674878925
rental_count,2025-05-31 07:00:00,test,offday,5,7,5,0.6110139320955191,0.9987360296218275,4.001263970378172
rental_count,2025-06-03 18:00:00,test,offday,6,18,0,2.9294292713191954,3.994431008873481,3.994431008873481
rental_count,2025-06-08 18:00:00,test,offday,6,18,0,2.9294292713191954,3.994431008873481,3.994431008873481
rental_count,2025-09-12 00:00:00,test,weekday,9,0,5,1.5933511956696123,1.0079575737928737,3.992042426207126
rental_count,2025-06-05 10:00:00,test,weekday,6,10,6,2.435470695883776,2.052581370902235,3.947418629097765
rental_count,2025-04-11 15:00:00,test,weekday,4,15,6,3.315788195396487,2.054717019667658,3.945282980332342
rental_count,2025-04-18 15:00:00,test,weekday,4,15,6,3.315788195396487,2.054717019667658,3.945282980332342
rental_count,2025-09-11 21:00:00,test,weekday,9,21,6,2.517344090370978,2.057173007317302,3.942826992682698
rental_count,2025-09-18 21:00:00,test,weekday,9,21,6,2.517344090370978,2.057173007317302,3.942826992682698
rental_count,2025-09-27 23:00:00,test,offday,9,23,5,1.3812549439020878,1.0598236256572644,3.9401763743427356
rental_count,2025-02-26 18:00:00,test,weekday,2,18,6,1.4957570403336349,2.063646860474539,3.936353139525461
rental_count,2025-02-27 18:00:00,test,weekday,2,18,6,1.4957570403336349,2.063646860474539,3.936353139525461
