row_feature,col_feature,correlation,target
base_value,base_value,1.0,rental_count
month_weight,base_value,-0.003041393453800061,rental_count
year_weight,base_value,0.0023197888490432625,rental_count
hour_weight,base_value,0.1642793336621356,rental_count
pattern_prior,base_value,0.7950894192795935,rental_count
corrected_pattern_prior,base_value,0.6678986551134708,rental_count
day_type_weekday,base_value,0.3289494658060216,rental_count
day_type_offday,base_value,-0.3289494658060217,rental_count
rental_count,base_value,0.3906429154698256,rental_count
base_value,month_weight,-0.003041393453800061,rental_count
month_weight,month_weight,1.0,rental_count
year_weight,month_weight,0.00043983851995602,rental_count
hour_weight,month_weight,8.635026909511148e-16,rental_count
pattern_prior,month_weight,0.5127087845247825,rental_count
corrected_pattern_prior,month_weight,0.41391121150825394,rental_count
day_type_weekday,month_weight,-0.009245777148014648,rental_count
day_type_offday,month_weight,0.009245777148014474,rental_count
rental_count,month_weight,0.24055549728357312,rental_count
base_value,year_weight,0.0023197888490432625,rental_count
month_weight,year_weight,0.00043983851995602,rental_count
year_weight,year_weight,1.0,rental_count
hour_weight,year_weight,-4.535123078413202e-15,rental_count
pattern_prior,year_weight,0.19016781427770016,rental_count
corrected_pattern_prior,year_weight,0.15347818531577223,rental_count
day_type_weekday,year_weight,0.00705211313646909,rental_count
day_type_offday,year_weight,-0.007052113136463089,rental_count
rental_count,year_weight,0.09219833966455622,rental_count
base_value,hour_weight,0.1642793336621356,rental_count
month_weight,hour_weight,8.635026909511148e-16,rental_count
year_weight,hour_weight,-4.535123078413202e-15,rental_count
hour_weight,hour_weight,1.0,rental_count
pattern_prior,hour_weight,0.13075909268269065,rental_count
corrected_pattern_prior,hour_weight,0.5818045094803369,rental_count
day_type_weekday,hour_weight,-2.356746724050109e-17,rental_count
day_type_offday,hour_weight,2.0331970346901535e-17,rental_count
rental_count,hour_weight,0.37037699541281927,rental_count
base_value,pattern_prior,0.7950894192795935,rental_count
month_weight,pattern_prior,0.5127087845247825,rental_count
year_weight,pattern_prior,0.19016781427770016,rental_count
hour_weight,pattern_prior,0.13075909268269065,rental_count
pattern_prior,pattern_prior,1.0,rental_count
corrected_pattern_prior,pattern_prior,0.8300575008831251,rental_count
day_type_weekday,pattern_prior,0.25869561473288705,rental_count
day_type_offday,pattern_prior,-0.25869561473288616,rental_count
rental_count,pattern_prior,0.48271671178611303,rental_count
base_value,corrected_pattern_prior,0.6678986551134708,rental_count
month_weight,corrected_pattern_prior,0.41391121150825394,rental_count
year_weight,corrected_pattern_prior,0.15347818531577223,rental_count
hour_weight,corrected_pattern_prior,0.5818045094803369,rental_count
pattern_prior,corrected_pattern_prior,0.8300575008831251,rental_count
corrected_pattern_prior,corrected_pattern_prior,1.0,rental_count
day_type_weekday,corrected_pattern_prior,0.20515363353970625,rental_count
day_type_offday,corrected_pattern_prior,-0.20515363353970564,rental_count
rental_count,corrected_pattern_prior,0.61286122870753,rental_count
base_value,day_type_weekday,0.3289494658060216,rental_count
month_weight,day_type_weekday,-0.009245777148014648,rental_count
year_weight,day_type_weekday,0.00705211313646909,rental_count
hour_weight,day_type_weekday,-2.356746724050109e-17,rental_count
pattern_prior,day_type_weekday,0.25869561473288705,rental_count
corrected_pattern_prior,day_type_weekday,0.20515363353970625,rental_count
day_type_weekday,day_type_weekday,1.0,rental_count
day_type_offday,day_type_weekday,-0.9999999999999996,rental_count
rental_count,day_type_weekday,0.11396209167040508,rental_count
base_value,day_type_offday,-0.3289494658060217,rental_count
month_weight,day_type_offday,0.009245777148014474,rental_count
year_weight,day_type_offday,-0.007052113136463089,rental_count
hour_weight,day_type_offday,2.0331970346901535e-17,rental_count
pattern_prior,day_type_offday,-0.25869561473288616,rental_count
corrected_pattern_prior,day_type_offday,-0.20515363353970564,rental_count
day_type_weekday,day_type_offday,-0.9999999999999996,rental_count
day_type_offday,day_type_offday,1.0,rental_count
rental_count,day_type_offday,-0.11396209167040448,rental_count
base_value,rental_count,0.3906429154698256,rental_count
month_weight,rental_count,0.24055549728357312,rental_count
year_weight,rental_count,0.09219833966455622,rental_count
hour_weight,rental_count,0.37037699541281927,rental_count
pattern_prior,rental_count,0.48271671178611303,rental_count
corrected_pattern_prior,rental_count,0.61286122870753,rental_count
day_type_weekday,rental_count,0.11396209167040508,rental_count
day_type_offday,rental_count,-0.11396209167040448,rental_count
rental_count,rental_count,1.0,rental_count
base_value,base_value,1.0,return_count
month_weight,base_value,-0.002845440464410128,return_count
year_weight,base_value,0.002050570711799733,return_count
hour_weight,base_value,0.10399440855297422,return_count
pattern_prior,base_value,0.7903542775278424,return_count
corrected_pattern_prior,base_value,0.6005053887739596,return_count
day_type_weekday,base_value,0.2866014394389482,return_count
day_type_offday,base_value,-0.2866014394389488,return_count
return_count,base_value,0.33145871278670097,return_count
base_value,month_weight,-0.002845440464410128,return_count
month_weight,month_weight,1.0,return_count
year_weight,month_weight,3.9091170330424416e-05,return_count
hour_weight,month_weight,3.436934008598649e-16,return_count
pattern_prior,month_weight,0.5435417384992498,return_count
corrected_pattern_prior,month_weight,0.42657346580807753,return_count
day_type_weekday,month_weight,-0.009928214142892744,return_count
day_type_offday,month_weight,0.009928214142892572,return_count
return_count,month_weight,0.23467871850682612,return_count
base_value,year_weight,0.002050570711799733,return_count
month_weight,year_weight,3.9091170330424416e-05,return_count
year_weight,year_weight,1.0,return_count
hour_weight,year_weight,-3.6760354202979036e-15,return_count
pattern_prior,year_weight,0.1457939432015129,return_count
corrected_pattern_prior,year_weight,0.11437477256867976,return_count
day_type_weekday,year_weight,0.007154781622226125,return_count
day_type_offday,year_weight,-0.007154781622219842,return_count
return_count,year_weight,0.08466097711166891,return_count
base_value,hour_weight,0.10399440855297422,return_count
month_weight,hour_weight,3.436934008598649e-16,return_count
year_weight,hour_weight,-3.6760354202979036e-15,return_count
hour_weight,hour_weight,1.0,return_count
pattern_prior,hour_weight,0.08225553246078712,return_count
corrected_pattern_prior,hour_weight,0.6213868163893507,return_count
day_type_weekday,hour_weight,1.1114967769618726e-18,return_count
day_type_offday,hour_weight,-1.0174557652515413e-18,return_count
return_count,hour_weight,0.3885911767519728,return_count
base_value,pattern_prior,0.7903542775278424,return_count
month_weight,pattern_prior,0.5435417384992498,return_count
year_weight,pattern_prior,0.1457939432015129,return_count
hour_weight,pattern_prior,0.08225553246078712,return_count
pattern_prior,pattern_prior,1.0,return_count
corrected_pattern_prior,pattern_prior,0.767775915881922,return_count
day_type_weekday,pattern_prior,0.22262244684396906,return_count
day_type_offday,pattern_prior,-0.22262244684396829,return_count
return_count,pattern_prior,0.42625476770407994,return_count
base_value,corrected_pattern_prior,0.6005053887739596,return_count
month_weight,corrected_pattern_prior,0.42657346580807753,return_count
year_weight,corrected_pattern_prior,0.11437477256867976,return_count
hour_weight,corrected_pattern_prior,0.6213868163893507,return_count
pattern_prior,corrected_pattern_prior,0.767775915881922,return_count
corrected_pattern_prior,corrected_pattern_prior,1.0,return_count
day_type_weekday,corrected_pattern_prior,0.17057273522807187,return_count
day_type_offday,corrected_pattern_prior,-0.17057273522807123,return_count
return_count,corrected_pattern_prior,0.5974151483644349,return_count
base_value,day_type_weekday,0.2866014394389482,return_count
month_weight,day_type_weekday,-0.009928214142892744,return_count
year_weight,day_type_weekday,0.007154781622226125,return_count
hour_weight,day_type_weekday,1.1114967769618726e-18,return_count
pattern_prior,day_type_weekday,0.22262244684396906,return_count
corrected_pattern_prior,day_type_weekday,0.17057273522807187,return_count
day_type_weekday,day_type_weekday,1.0,return_count
day_type_offday,day_type_weekday,-0.9999999999999996,return_count
return_count,day_type_weekday,0.08980411067204787,return_count
base_value,day_type_offday,-0.2866014394389488,return_count
month_weight,day_type_offday,0.009928214142892572,return_count
year_weight,day_type_offday,-0.007154781622219842,return_count
hour_weight,day_type_offday,-1.0174557652515413e-18,return_count
pattern_prior,day_type_offday,-0.22262244684396829,return_count
corrected_pattern_prior,day_type_offday,-0.17057273522807123,return_count
day_type_weekday,day_type_offday,-0.9999999999999996,return_count
day_type_offday,day_type_offday,1.0,return_count
return_count,day_type_offday,-0.08980411067204747,return_count
base_value,return_count,0.33145871278670097,return_count
month_weight,return_count,0.23467871850682612,return_count
year_weight,return_count,0.08466097711166891,return_count
hour_weight,return_count,0.3885911767519728,return_count
pattern_prior,return_count,0.42625476770407994,return_count
corrected_pattern_prior,return_count,0.5974151483644349,return_count
day_type_weekday,return_count,0.08980411067204787,return_count
day_type_offday,return_count,-0.08980411067204747,return_count
return_count,return_count,1.0,return_count
