target,alpha,rmse,mae,r2
rental_count,0.001,1.461417412686997,1.0429870471085934,0.38252434031327065
rental_count,0.01,1.4614175715341966,1.0429864174280603,0.38252420608155313
rental_count,0.1,1.4614191598926345,1.042980125772863,0.3825228638595358
rental_count,1.0,1.4614350311932323,1.0429177194004058,0.3825094519394998
rental_count,10.0,1.4615917753106589,1.0423483397300348,0.38237698871077097
rental_count,100.0,1.4628434502632777,1.0391681183323125,0.38131869831311827
rental_count,1000.0,1.4670038429310088,1.0408045129447587,0.3777945790701758
return_count,0.001,1.4859935011150862,1.0694629621607237,0.3748199267526169
return_count,0.01,1.4859934221761246,1.0694624096785292,0.37481999317425907
return_count,0.1,1.4859926352221178,1.069456890511173,0.37482065534109477
return_count,1.0,1.4859850053743107,1.0694023410018174,0.37482707530697235
return_count,10.0,1.485929093590363,1.0689169452697311,0.3748741200291841
return_count,100.0,1.4861805084712816,1.0668716722801228,0.3746625631717799
return_count,1000.0,1.4917404583378977,1.073227174911711,0.36997491131438254
