target,weight_type,key,value
rental_count,month_weight,1,0.6099549027913984
rental_count,month_weight,2,0.6977120249370957
rental_count,month_weight,3,0.8761907429412513
rental_count,month_weight,4,1.0578357262761413
rental_count,month_weight,5,1.1577561205231035
rental_count,month_weight,6,1.2980423903518303
rental_count,month_weight,7,1.1147144271023244
rental_count,month_weight,8,1.1947872416203351
rental_count,month_weight,9,1.1849259604409108
rental_count,month_weight,10,1.141645161301393
rental_count,month_weight,11,0.9787510033037308
rental_count,month_weight,12,0.6876842984104876
rental_count,year_weight,2023,0.9806940758610502
rental_count,year_weight,2024,1.1300915414595027
rental_count,year_weight,2025,0.8892143826794472
rental_count,hour_weight,0,0.6769964010973929
rental_count,hour_weight,1,1.1523493491401433
rental_count,hour_weight,2,1.1008027535001974
rental_count,hour_weight,3,1.0467956949782171
rental_count,hour_weight,4,0.9559741954116312
rental_count,hour_weight,5,0.8145654645205059
rental_count,hour_weight,6,1.108755632035585
rental_count,hour_weight,7,1.5953360953042974
rental_count,hour_weight,8,1.5861695868122172
rental_count,hour_weight,9,0.8079975727555014
rental_count,hour_weight,10,0.7134010242082652
rental_count,hour_weight,11,1.0665942077123984
rental_count,hour_weight,12,0.8307528035543751
rental_count,hour_weight,13,0.7282531869246943
rental_count,hour_weight,14,0.6225299979658472
rental_count,hour_weight,15,0.7135419530670544
rental_count,hour_weight,16,0.9808633779178494
rental_count,hour_weight,17,1.729364015858221
rental_count,hour_weight,18,2.032058205029182
rental_count,hour_weight,19,0.8738040894408043
rental_count,hour_weight,20,0.7563354353712494
rental_count,hour_weight,21,0.6989354852628821
rental_count,hour_weight,22,0.7223133188499717
rental_count,hour_weight,23,0.6855101532815155
return_count,month_weight,1,0.530463371708468
return_count,month_weight,2,0.6366087892540235
return_count,month_weight,3,0.8505743354315201
return_count,month_weight,4,1.1424430684047442
return_count,month_weight,5,1.166376097688447
return_count,month_weight,6,1.151191334816544
return_count,month_weight,7,1.2500366553366453
return_count,month_weight,8,1.3443113800708382
return_count,month_weight,9,1.2027522046136383
return_count,month_weight,10,1.1289531839542826
return_count,month_weight,11,0.9847983223934331
return_count,month_weight,12,0.6114912563274152
return_count,year_weight,2023,0.9629879251958865
return_count,year_weight,2024,1.1997605219070748
return_count,year_weight,2025,0.8372515528970387
return_count,hour_weight,0,0.6619093439365331
return_count,hour_weight,1,0.47245592136183023
return_count,hour_weight,2,0.33096117516777523
return_count,hour_weight,3,0.18398888537459615
return_count,hour_weight,4,0.10087168891334544
return_count,hour_weight,5,0.06538787106913062
return_count,hour_weight,6,0.3165236351151299
return_count,hour_weight,7,0.7505315786274787
return_count,hour_weight,8,1.4634344756733801
return_count,hour_weight,9,0.8860726121768443
return_count,hour_weight,10,0.46389445560862586
return_count,hour_weight,11,0.3503628409908969
return_count,hour_weight,12,0.421509584520573
return_count,hour_weight,13,0.4179898376131467
return_count,hour_weight,14,0.3735967513104861
return_count,hour_weight,15,0.36789083255735777
return_count,hour_weight,16,0.5080116766634531
return_count,hour_weight,17,0.7359490274384923
return_count,hour_weight,18,1.108666462435346
return_count,hour_weight,19,1.1048332637906975
return_count,hour_weight,20,1.415562178238359
return_count,hour_weight,21,2.8447425779731987
return_count,hour_weight,22,6.29577452624037
return_count,hour_weight,23,2.359078797202956
