target,feature,alpha,coefficient
rental_count,intercept,1000.0,-0.3576126570559681
rental_count,base_value,1000.0,0.05976122246628311
rental_count,month_weight,1000.0,0.053975692219416095
rental_count,year_weight,1000.0,0.0
rental_count,hour_weight,1000.0,0.24448457357095932
rental_count,pattern_prior,1000.0,0.2575060716046155
rental_count,corrected_pattern_prior,1000.0,0.681173829873592
rental_count,day_type_weekday,1000.0,0.004264891291188538
rental_count,day_type_offday,1000.0,-0.004264891291188557
return_count,intercept,1000.0,-0.25285444554648584
return_count,base_value,1000.0,0.07956140203714782
return_count,month_weight,1000.0,0.05852314866069394
return_count,year_weight,1000.0,-8.81073239022785e-30
return_count,hour_weight,1000.0,0.18236002051578365
return_count,pattern_prior,1000.0,0.20717469305186506
return_count,corrected_pattern_prior,1000.0,0.6354659300441187
return_count,day_type_weekday,1000.0,0.0032203891109264205
return_count,day_type_offday,1000.0,-0.0032203891109264687
