target,granularity,year,key,series,value
rental_count,hour,2023,0,actual_value,0.6493150684931507
rental_count,hour,2023,0,prediction,0.8751146904520705
rental_count,hour,2023,1,actual_value,0.6219178082191781
rental_count,hour,2023,1,prediction,0.8052646090808818
rental_count,hour,2023,2,actual_value,0.4273972602739726
rental_count,hour,2023,2,prediction,0.4899539936693637
rental_count,hour,2023,3,actual_value,0.3013698630136986
rental_count,hour,2023,3,prediction,0.3838638828537641
rental_count,hour,2023,4,actual_value,0.0684931506849315
rental_count,hour,2023,4,prediction,0.38749749473378226
rental_count,hour,2023,5,actual_value,0.1095890410958904
rental_count,hour,2023,5,prediction,0.0738204529616381
rental_count,hour,2023,6,actual_value,0.2410958904109589
rental_count,hour,2023,6,prediction,0.16158205533610562
rental_count,hour,2023,7,actual_value,0.6328767123287671
rental_count,hour,2023,7,prediction,0.8813146808742666
rental_count,hour,2023,8,actual_value,1.9013698630136986
rental_count,hour,2023,8,prediction,1.4796034634690318
rental_count,hour,2023,9,actual_value,1.3013698630136987
rental_count,hour,2023,9,prediction,1.1903345620035688
rental_count,hour,2023,10,actual_value,1.3013698630136987
rental_count,hour,2023,10,prediction,1.1290936933111966
rental_count,hour,2023,11,actual_value,1.4602739726027398
rental_count,hour,2023,11,prediction,1.413025838735596
rental_count,hour,2023,12,actual_value,2.1671232876712327
rental_count,hour,2023,12,prediction,1.9261458334460402
rental_count,hour,2023,13,actual_value,1.8520547945205479
rental_count,hour,2023,13,prediction,1.9207089265455604
rental_count,hour,2023,14,actual_value,1.6849315068493151
rental_count,hour,2023,14,prediction,1.9257285647300606
rental_count,hour,2023,15,actual_value,1.8493150684931507
rental_count,hour,2023,15,prediction,2.0642545007170603
rental_count,hour,2023,16,actual_value,2.254794520547945
rental_count,hour,2023,16,prediction,2.1807145668414334
rental_count,hour,2023,17,actual_value,2.808219178082192
rental_count,hour,2023,17,prediction,2.9217993397919506
rental_count,hour,2023,18,actual_value,2.947945205479452
rental_count,hour,2023,18,prediction,3.017135528507799
rental_count,hour,2023,19,actual_value,2.6876712328767125
rental_count,hour,2023,19,prediction,2.5106435169282415
rental_count,hour,2023,20,actual_value,2.1890410958904107
rental_count,hour,2023,20,prediction,2.228909255046821
rental_count,hour,2023,21,actual_value,3.252054794520548
rental_count,hour,2023,21,prediction,3.0063376709027656
rental_count,hour,2023,22,actual_value,2.9123287671232876
rental_count,hour,2023,22,prediction,2.6957801720578143
rental_count,hour,2023,23,actual_value,1.0767123287671232
