target,alpha,rmse,mae,r2
rental_count,0.001,1.7618280541402698,1.228576851138369,0.48781845628474374
rental_count,0.01,1.7618284117038696,1.2285774465514752,0.4878182483898874
rental_count,0.1,1.7618319888708491,1.22858338688267,0.48781616854885734
rental_count,1.0,1.7618679096601764,1.228641439403555,0.487795283203177
rental_count,10.0,1.762220161190292,1.229136882662388,0.4875904518075034
rental_count,100.0,1.7662270750252098,1.231019434038247,0.48525758194094615
rental_count,1000.0,1.7948162194576673,1.242246316318982,0.4684588966112383
return_count,0.001,1.9001478043203937,1.3734285599416012,0.44702733587194843
return_count,0.01,1.9001472009970026,1.3734276294452663,0.4470276870249368
return_count,0.1,1.9001411720442878,1.373418328449241,0.44703119605690744
return_count,1.0,1.9000813086282495,1.3733257135140755,0.447066037762997
return_count,10.0,1.8995233658885868,1.372437428978197,0.44739071881041725
return_count,100.0,1.8966979100813153,1.3663467797113473,0.4490334591888494
return_count,1000.0,1.9093837813373695,1.3634956274050924,0.4416386444271395
