target,weight_type,key,value
rental_count,month_weight,1,0.47806024483384
rental_count,month_weight,2,0.6307914569801922
rental_count,month_weight,3,0.9412134575325596
rental_count,month_weight,4,1.1743177390657538
rental_count,month_weight,5,1.2460620699731078
rental_count,month_weight,6,1.3651423617246259
rental_count,month_weight,7,0.9395679815768083
rental_count,month_weight,8,1.0602989469587707
rental_count,month_weight,9,1.2414189532487665
rental_count,month_weight,10,1.3291092000256655
rental_count,month_weight,11,0.9827217966225593
rental_count,month_weight,12,0.6112957914573519
rental_count,year_weight,2023,1.0520273172124963
rental_count,year_weight,2024,1.099333153465527
rental_count,year_weight,2025,0.8486395293219767
rental_count,hour_weight,0,0.8539699298954635
rental_count,hour_weight,1,0.6614365538100925
rental_count,hour_weight,2,0.32889692423424804
rental_count,hour_weight,3,0.29434268078471365
rental_count,hour_weight,4,0.16708022283736518
rental_count,hour_weight,5,0.15266176229827294
rental_count,hour_weight,6,1.2993553484659262
rental_count,hour_weight,7,1.2301335629260648
rental_count,hour_weight,8,4.429434314189957
rental_count,hour_weight,9,0.9292297911756509
rental_count,hour_weight,10,0.9453575943069864
rental_count,hour_weight,11,0.7116430859862772
rental_count,hour_weight,12,0.8152996205895437
rental_count,hour_weight,13,0.7160510718136406
rental_count,hour_weight,14,0.7754593514677162
rental_count,hour_weight,15,0.6392147021433231
rental_count,hour_weight,16,0.7366379455582179
rental_count,hour_weight,17,1.0391316337811989
rental_count,hour_weight,18,1.7303165145837964
rental_count,hour_weight,19,1.2443693685161847
rental_count,hour_weight,20,1.148996985044668
rental_count,hour_weight,21,1.0408009531002829
rental_count,hour_weight,22,1.1256334654826232
rental_count,hour_weight,23,0.9845466170077876
return_count,month_weight,1,0.5296802524554693
return_count,month_weight,2,0.6509794888786429
return_count,month_weight,3,0.9174229143276277
return_count,month_weight,4,1.139168193392925
return_count,month_weight,5,1.2541062391645672
return_count,month_weight,6,1.3670123259552143
return_count,month_weight,7,0.9731094794400423
return_count,month_weight,8,1.0080916923122158
return_count,month_weight,9,1.2056007562049469
return_count,month_weight,10,1.3022973867332894
return_count,month_weight,11,1.0319962545742398
return_count,month_weight,12,0.6205350165608222
return_count,year_weight,2023,1.0838856432700579
return_count,year_weight,2024,1.0845115460252037
return_count,year_weight,2025,0.8316028107047386
return_count,hour_weight,0,0.5587018165829553
return_count,hour_weight,1,0.7826244220160612
return_count,hour_weight,2,0.8888436246439873
return_count,hour_weight,3,0.6004206117152638
return_count,hour_weight,4,0.39458891982344924
return_count,hour_weight,5,0.4476920963772911
return_count,hour_weight,6,1.4015445688912849
return_count,hour_weight,7,1.8763197307720736
return_count,hour_weight,8,1.9773760854729998
return_count,hour_weight,9,1.0175124668820743
return_count,hour_weight,10,0.7921605579744008
return_count,hour_weight,11,0.8017293853836364
return_count,hour_weight,12,0.9288904911546807
return_count,hour_weight,13,0.6997623927232793
return_count,hour_weight,14,0.6572682760798996
return_count,hour_weight,15,0.7038557473435745
return_count,hour_weight,16,0.8480357737727947
return_count,hour_weight,17,1.635116543248949
return_count,hour_weight,18,2.2656829549456443
return_count,hour_weight,19,1.0206334207032082
return_count,hour_weight,20,0.9227532989658265
return_count,hour_weight,21,0.9129107040375427
return_count,hour_weight,22,1.0303236263914328
return_count,hour_weight,23,0.8352524840976937
