cluster,split,rows,rmse,mae,r2
0,test,411720,0.6746777052280091,0.44495779498050964,0.7165170990128207
1,test,26280,1.2803164948925858,0.8332219989447452,0.5973713475521574
2,test,271560,0.7439862652863037,0.5004746978667741,0.7092237989411903
3,test,534360,0.5538803896569576,0.39451569118341256,0.769746274954767
4,test,166440,0.4956157947400748,0.342717935070086,0.7812769591417991
0,train,411673,0.7079023647539971,0.4747428460095473,0.7275539752525203
1,train,26277,1.425658102076272,0.9069790429665768,0.6274655459894405
2,train,271529,0.8488304533940922,0.5618950218658302,0.7089618469937897
3,train,534299,0.6448721725777165,0.44775898379838414,0.7595632130859069
4,train,166421,0.5678560004101852,0.37750822710063303,0.7593771537356429
0,valid,412848,0.7221319770987226,0.47667919431325645,0.7216155311459274
1,valid,26352,1.5581928359532544,0.9427792707884401,0.5766303958298311
2,valid,272304,0.8603415217794639,0.5693284233268914,0.7064155122666047
3,valid,535824,0.62393940721508,0.4355139888734186,0.763950746924136
4,valid,166896,0.5901288736063558,0.38361692493408744,0.756883421612068
