feature,standardized_coefficient,abs_standardized_coefficient
rental_count,1.040082175421807,1.040082175421807
bike_change_lag_1,-0.3811238277949817,0.3811238277949817
bike_change_rollmean_24,-0.36974311239772717,0.36974311239772717
bike_change_rollmean_168,-0.319654894184542,0.319654894184542
bike_change_rollstd_168,-0.21862308530226007,0.21862308530226007
hour,-0.21431256785522634,0.21431256785522634
bike_change_rollstd_24,-0.20155788168932431,0.20155788168932431
humidity,0.05711890641485521,0.05711890641485521
temperature,-0.039270295589743445,0.039270295589743445
weekday,0.02251050603552211,0.02251050603552211
month,-0.014029817745592733,0.014029817745592733
precipitation,0.011927314233482181,0.011927314233482181
holiday,0.005009067210043677,0.005009067210043677
cluster,0.004522207440256554,0.004522207440256554
wind_speed,0.0026227740001906587,0.0026227740001906587
station_id,0.0019822161548485933,0.0019822161548485933
