,station_id,hour,rental_count,weekday,month,holiday,temperature,humidity,precipitation,wind_speed,cluster,bike_change_raw,bike_change_deseasonalized,bike_change_lag_1,bike_change_rollmean_24,bike_change_rollstd_24,bike_change_rollmean_168,bike_change_rollstd_168
station_id,1.0,4.1362846591045184e-14,-0.07669083421932475,1.9630786213561596e-14,2.529737082318557e-14,-6.662343258035257e-15,-4.5307182634957217e-14,-6.801742035120459e-14,2.631953934198291e-15,8.219654022112013e-14,-0.15419806331552796,1.0723832606826526e-06,1.8602835593605647e-06,-1.4711350742435086e-06,-6.153199572975562e-06,-0.15670893310367312,0.0002344870197607407,-0.20020061994441235
hour,4.1362846591045184e-14,1.0,0.18360204012738648,-1.777655186050614e-18,1.0194851791907309e-16,2.0520285069470092e-19,0.12175393816046123,-0.25737340914651285,0.00786332715168218,0.16324798353678469,-5.910447129812136e-15,-0.029555479453109226,-0.002259611901350667,-0.0031998024803935104,6.146956514319703e-05,0.0026545949876159835,4.5548806135260316e-05,-1.2572967257042346e-05
rental_count,-0.07669083421932475,0.18360204012738648,1.0,-0.05013662491933796,0.03872626530248874,-0.0432685896281806,0.1745764777323627,-0.12714928042792686,-0.06483168490108457,0.021695999353857666,-0.033617072901604816,0.531048922368746,0.4963469238408673,0.10252568753082195,0.09319313340907455,0.33658137233527885,0.08534156062662127,0.35502664145689683
weekday,1.9630786213561596e-14,-1.777655186050614e-18,-0.05013662491933796,1.0,0.00950931286034974,-0.04766507210698557,0.0019881015739642047,0.022001418368179548,-0.005666329721741894,0.002711309549135962,1.5273806597065718e-15,-0.0012812492653066954,-7.494579025986503e-05,-0.002544871348986504,-0.053579633051756066,-0.0417778066828246,-0.00017099611695049622,0.0009202138657542107
month,2.529737082318557e-14,1.0194851791907309e-16,0.03872626530248874,0.00950931286034974,1.0,-0.043080349591473756,0.22622593710735217,0.19677001463072313,0.03410106130743092,-0.09889946858583337,-2.9483080206707467e-15,-8.824946688291723e-05,-7.626498606479812e-05,-0.00014962404226836866,-0.0035687007617963714,0.08272550436039783,-0.018087349685846923,0.11343675919267152
holiday,-6.662343258035257e-15,2.0520285069470092e-19,-0.0432685896281806,-0.04766507210698557,-0.043080349591473756,1.0,-0.040807113316591315,0.0006363865704613194,0.015948970609350417,0.015713919794011787,9.25915994142571e-16,-0.0007695586588248413,-0.0008876094137376359,-0.001467124484140388,-0.02910155287182103,-0.04944382875478075,-0.04207534971286602,-0.020483791144311602
temperature,-4.5307182634957217e-14,0.12175393816046123,0.1745764777323627,0.0019881015739642047,0.22622593710735217,-0.040807113316591315,1.0,0.15884754184399055,0.1341622285747676,0.016229950878340223,6.565809964246576e-15,0.003259724747738791,-0.00042367328104712357,0.005302108555484445,-0.001035484203399174,0.26125282672660954,0.011374723759917523,0.3078241375267335
humidity,-6.801742035120459e-14,-0.25737340914651285,-0.12714928042792686,0.022001418368179548,0.19677001463072313,0.0006363865704613194,0.15884754184399055,1.0,0.17291013059480062,-0.2533578350933761,1.7241321117504094e-14,-0.010045951054802377,0.001031061044472324,-0.014531150092888837,-0.03140562716153187,0.0264918644824732,-0.04949726624749885,0.07252463549692882
precipitation,2.631953934198291e-15,0.00786332715168218,-0.06483168490108457,-0.005666329721741894,0.03410106130743092,0.015948970609350417,0.1341622285747676,0.17291013059480062,1.0,0.1541047091897394,8.925080194482057e-16,-0.001505010740175071,-0.0014053651385363991,-0.005194833045444545,-0.06867835900427215,-0.03143675712240924,-0.07488899181872045,0.027766376234737048
wind_speed,8.219654022112013e-14,0.16324798353678469,0.021695999353857666,0.002711309549135962,-0.09889946858583337,0.015713919794011787,0.016229950878340223,-0.2533578350933761,0.1541047091897394,1.0,4.033984232347101e-15,0.009669547856941126,0.00016465142258733777,0.011427001673647975,-0.01910237668453684,-0.08201995013650895,-0.045008532551945216,-0.019737440368809128
