feature,correlation_with_target,abs_correlation_with_target,derived_from_target_history,high_risk_by_corr_ge_0_9
rental_count,0.5310489223681227,0.5310489223681227,False,False
bike_change_rollmean_24,-0.42129501969874705,0.42129501969874705,True,False
bike_change_rollmean_168,-0.4179246783974616,0.4179246783974616,True,False
bike_change_lag_1,-0.4034685672063845,0.4034685672063845,True,False
hour,-0.02955547945307727,0.02955547945307727,False,False
bike_change_rollstd_24,-0.028186316614627484,0.028186316614627484,True,False
humidity,-0.010045951054790997,0.010045951054790997,False,False
wind_speed,0.009669547856930421,0.009669547856930421,False,False
bike_change_rollstd_168,-0.004637290847014675,0.004637290847014675,True,False
temperature,0.003259724747735099,0.003259724747735099,False,False
precipitation,-0.0015050107401734937,0.0015050107401734937,False,False
weekday,-0.0012812492653053408,0.0012812492653053408,False,False
holiday,-0.000769558658824039,0.000769558658824039,False,False
month,-8.824946688282865e-05,8.824946688282865e-05,False,False
cluster,-1.6310521755981463e-06,1.6310521755981463e-06,False,False
station_id,1.072383260683917e-06,1.072383260683917e-06,False,False
