,반납대여소번호
2069,3614
1999,2335
2105,2412
1938,3615
1877,2356
2046,3643
1931,3609
1878,4906
1939,2413
1923,4911
1987,2423
1927,2342
1904,2332
1932,2324
2150,2301
1955,2332
1940,3604
1944,2356
1909,2360
1953,2365
2165,4905
1952,2421
1958,2421
1959,2394
1945,2375
1998,2372
1964,2384
1956,2394
2170,2360
1960,2335
2108,2313
2078,2421
2645,2405
2256,2304
1977,2301
2087,2416
1922,4903
1991,2320
2052,4913
2109,2321
2099,4916
2001,2376
2221,2306
2100,4916
2250,2301
2398,2342
1971,2412
1974,2418
1970,2387
2002,2429
2098,2337
1949,2375
2023,2422
1980,4914
1961,2413
2742,3651
1982,2312
2037,2309
1989,2312
2053,2353
2086,2340
2009,2357
1990,2312
2033,3627
2117,3637
1954,2369
2004,4906
2073,3640
2556,2413
1966,2306
2026,3651
2044,3618
2040,3627
2020,2301
2043,3618
2005,4906
2161,2416
1969,2373
2552,2413
2030,2387
2223,3612
1967,2336
2034,3644
2084,2324
2072,3630
2028,2376
2022,3612
1997,3614
1992,4906
1979,2301
1995,2327
2017,2414
2010,3627
2120,2327
2097,2423
2019,2377
2101,2332
2160,4913
2164,4913
2039,2359
2283,3651
2021,3612
2314,2406
2253,2396
2225,2396
2193,2301
2051,2353
2459,2301
2196,2411
2008,2350
2447,2375
2121,4923
2018,2422
2024,3622
2076,2365
2077,2365
2042,3627
2198,3649
2058,4914
2057,4914
2045,3643
2029,2333
2047,3643
2012,2422
2007,2341
2065,2308
2074,2359
2006,3604
2118,2336
2115,2360
2261,2404
2093,2365
2171,2372
2056,3604
2092,2365
2015,3604
2195,4917
2320,2385
2036,2390
2131,2410
2255,2301
2615,2396
2482,2301
2085,2340
2483,2301
2038,4905
2128,2303
2081,2360
2426,2415
2133,3636
2179,3638
2096,2409
2211,2373
2059,2428
2055,2313
2083,3602
2095,2392
2155,2411
2163,2342
2070,3647
2060,4901
2341,2409
2068,3641
2080,2420
2317,3614
2075,2351
2123,2390
2113,3614
2094,2428
2145,2317
2322,3614
2129,3621
2177,3638
2292,2412
2135,2362
2102,2337
2103,2337
2114,3624
2110,2317
2214,2403
2154,2373
2217,2306
2273,2324
2597,2403
2116,3641
2089,2418
2088,2389
2119,2317
2235,2394
2107,2404
2219,2306
2091,3604
2363,2332
2299,3627
2169,2307
2280,2373
2130,2342
2124,3641
2168,2307
2147,3651
2395,2364
2234,2307
2207,2427
2591,3649
2152,2382
2132,2394
2489,2342
2151,2385
2146,4923
2477,2339
2139,2387
2111,3647
2476,2339
2505,2384
2104,2411
2206,2427
2149,2353
2490,2342
2246,2418
2539,2428
2182,2403
2159,2431
2173,2370
2127,2406
2141,3640
2457,2301
2137,2418
2293,2423
2175,2301
2467,3627
2543,3627
2187,4905
2136,2340
2305,2423
2199,2410
2450,2389
2148,3611
2241,2414
2156,3618
2274,4906
2176,2301
2324,2372
2249,2377
2162,3604
2174,2415
2153,2340
2671,4918
2281,2330
2197,2413
2366,3651
2291,2325
2158,3651
2352,2314
2191,2303
2263,2360
2444,3651
2183,3640
2204,3646
2310,2332
2345,2314
2266,2404
2167,2314
2188,2409
2166,3609
2259,2303
2628,2342
2181,4913
2184,2333
2258,2303
2180,2340
2294,2410
2185,3627
2227,3620
2194,2372
2260,2429
2186,3627
2271,2375
2272,2375
2220,2331
2443,2422
2264,2429
2269,2409
2814,2301
2216,2385
2178,2428
2240,2349
2244,2349
2215,3618
2461,2340
2469,2377
2208,2375
2468,2377
2210,2308
2192,4913
2473,2308
2190,4913
2478,2306
2201,2405
2236,2309
2393,2423
2212,2317
2245,2418
2242,2418
2286,2431
2232,3643
2495,2429
2493,2429
2224,2310
2303,2404
2279,3618
2575,2326
2402,2319
2302,2377
2231,2353
2329,2330
2213,2431
2431,2308
2288,3622
2308,2369
2433,2308
2200,2414
2307,2369
2432,2341
2202,2405
2278,3606
2265,2387
2338,3638
2268,2410
2248,2320
2661,2414
2257,2318
2209,2307
2297,2375
2335,2340
2711,3618
2518,2356
2285,2418
2218,2372
2233,3643
2228,2317
2247,2364
2636,4907
2276,2330
2356,2408
2222,2377
2237,3651
2365,2410
2301,3624
2254,2404
2296,2404
2316,2335
2229,2413
2284,2381
2267,2332
2619,2403
2287,3612
2355,2403
2465,2403
2353,2431
2252,2329
2326,2403
2334,2386
2422,2306
2282,2337
2243,2373
2349,2329
2319,2375
2364,2365
2238,4907
2251,2416
2526,4923
2277,2419
2576,2324
2339,2411
2419,2428
2354,2325
2295,2301
2589,2301
2270,2373
2262,2328
2442,2373
2298,2359
2344,2301
2318,2412
2491,2333
2328,2384
2557,3606
2290,2416
2325,2303
2388,2360
2311,2318
2350,3615
2331,2375
2380,2396
2580,3636
2382,2396
2289,2404
2389,2417
2351,2356
2420,2320
2312,3651
2413,4905
2385,3627
2359,2389
2342,2351
2337,2323
2867,2431
2375,2335
2387,3634
2300,2382
2394,2410
2340,3612
2343,2418
2304,4907
2587,2301
2330,4913
2315,2387
2346,2418
2412,2344
2391,2344
2399,4917
2456,3606
2327,2373
2306,2382
2463,3606
2612,3651
