file_name,rows_before,rows_after,dropped_missing,dropped_nonpositive,dropped_short_same_station_return,dropped_noncommon_rent,dropped_outside_gangnam_return,group_name
2301_강남구_따릉이_이용정보.csv,34937,30957,0,2778,295,907,0,train_2023
2302_강남구_따릉이_이용정보.csv,49372,44188,0,3480,356,1348,0,train_2023
2303_강남구_따릉이_이용정보.csv,80572,72079,0,5431,806,2256,0,train_2023
2304_강남구_따릉이_이용정보.csv,91717,81967,0,6235,988,2527,0,train_2023
2305_강남구_따릉이_이용정보.csv,107880,97042,0,6786,1108,2944,0,train_2023
2306_강남구_따릉이_이용정보.csv,105610,95109,0,6564,1152,2785,0,train_2023
2307_강남구_따릉이_이용정보.csv,85691,76616,0,5850,1025,2200,0,train_2023
2308_강남구_따릉이_이용정보.csv,92398,82801,0,6226,931,2440,0,train_2023
2309_강남구_따릉이_이용정보.csv,105436,93874,0,7862,1066,2634,0,train_2023
2310_강남구_따릉이_이용정보.csv,124747,111821,0,8628,1077,3221,0,train_2023
2311_강남구_따릉이_이용정보.csv,85518,77369,0,5696,563,1890,0,train_2023
2312_강남구_따릉이_이용정보.csv,48602,43819,0,3442,400,941,0,train_2023
2401_강남구_따릉이_이용정보.csv,45852,41515,0,3491,376,470,0,train_2024
2402_강남구_따릉이_이용정보.csv,47304,42653,0,3725,370,556,0,train_2024
2403_강남구_따릉이_이용정보.csv,73435,66808,0,5304,560,763,0,train_2024
2404_강남구_따릉이_이용정보.csv,113461,102753,0,8559,922,1227,0,train_2024
2405_강남구_따릉이_이용정보.csv,119019,107766,0,8537,1005,1711,0,train_2024
2406_강남구_따릉이_이용정보.csv,118345,106819,0,7867,935,2724,0,train_2024
2407_강남구_따릉이_이용정보.csv,87270,82518,0,2544,540,1668,0,train_2024
2408_강남구_따릉이_이용정보.csv,88113,82324,0,3567,521,1701,0,train_2024
2409_강남구_따릉이_이용정보.csv,93033,88063,0,2547,571,1852,0,train_2024
2410_강남구_따릉이_이용정보.csv,101558,95690,0,3078,607,2183,0,train_2024
2411_강남구_따릉이_이용정보.csv,78883,73991,0,2861,399,1632,0,train_2024
2412_강남구_따릉이_이용정보.csv,48645,45507,0,1977,263,898,0,train_2024
2501_강남구_따릉이_이용정보.csv,37502,35410,0,1561,248,283,0,test_2025
2502_강남구_따릉이_이용정보.csv,36065,34375,0,1190,208,292,0,test_2025
2503_강남구_따릉이_이용정보.csv,63383,61268,0,1137,417,561,0,test_2025
2504_강남구_따릉이_이용정보.csv,85989,83339,0,1452,533,665,0,test_2025
2505_강남구_따릉이_이용정보.csv,85055,82574,0,1214,606,661,0,test_2025
2506_강남구_따릉이_이용정보.csv,91073,88635,0,1197,583,658,0,test_2025
2507_강남구_따릉이_이용정보.csv,84314,79542,0,1062,518,3192,0,test_2025
2508_강남구_따릉이_이용정보.csv,86307,79840,0,1102,606,4759,0,test_2025
2509_강남구_따릉이_이용정보.csv,94073,86051,0,1317,620,6085,0,test_2025
2510_강남구_따릉이_이용정보.csv,82459,75288,0,1361,543,5267,0,test_2025
2511_강남구_따릉이_이용정보.csv,77918,71552,0,1534,426,4406,0,test_2025
2512_강남구_따릉이_이용정보.csv,45259,42015,0,895,250,2099,0,test_2025
