feature_name,feature_name_ko,radius_m,mean,median,max,nonzero_station_count,nonzero_station_ratio
restaurant_count_300m,300m 내 일반음식점 수,300,130.769,98.0,479,165,0.9763
cafe_count_300m,300m 내 커피숍 수,300,16.533,13.0,60,162,0.9586
convenience_store_count_300m,300m 내 편의점 수,300,6.621,6.0,23,162,0.9586
bakery_count_300m,300m 내 제과점 수,300,5.55,4.0,37,147,0.8698
pharmacy_count_300m,300m 내 약국 수,300,6.13,5.0,30,152,0.8994
food_retail_count_1000m,1000m 내 식품판매업(기타) 수,1000,3.982,4.0,11,166,0.9822
fitness_count_500m,500m 내 체력단련장 수,500,14.473,12.0,41,161,0.9527
hospital_count_500m,500m 내 병원 수,500,1.598,1.0,8,110,0.6509
cinema_count_1000m,1000m 내 영화상영관 수,1000,9.793,1.0,35,90,0.5325
golf_practice_count_1000m,1000m 내 골프연습장 수,1000,29.751,30.0,63,169,1.0
