station_id,station_name,자치구,주소,위도,경도,restaurant_count_300m,cafe_count_300m,convenience_store_count_300m,bakery_count_300m,pharmacy_count_300m,food_retail_count_1000m,fitness_count_500m,hospital_count_500m,cinema_count_1000m,golf_practice_count_1000m
2301, 현대고등학교 건너편,강남구,서울특별시 강남구 압구정로 134,37.52407074,127.02178955,161,19,6,9,6,2,13,0,15,19
2302, 교보타워 버스정류장(신논현역 3번출구 후면),강남구,서울특별시 강남구 봉은사로 지하 102,37.5055809,127.02427673,295,16,6,3,13,2,12,0,16,18
2303, 논현역 10번출구,강남구,서울특별시 강남구 학동로 지하 102,37.51137161,127.02146149,166,17,7,6,6,3,15,4,8,19
2304, 대현그린타워,강남구,서울특별시 강남구 언주로 626,37.5116272,127.03565216,211,13,9,4,4,2,30,3,1,55
2305, MCM 본사 직영점 앞,강남구,서울특별시 강남구 언주로 734,37.52064133,127.03450775,219,18,8,7,3,4,23,6,23,48
2306, 압구정역 2번 출구 옆,강남구,서울특별시 강남구 압구정로 지하 172,37.5271225,127.02871704,205,37,7,34,27,1,25,5,23,28
2307, 압구정 한양 3차 아파트,강남구,서울특별시 강남구 압구정로 321,37.52838135,127.03901672,348,23,9,27,10,2,29,4,22,20
2308, 압구정파출소 앞,강남구,서울특별시 강남구 압구정로 311,37.52930069,127.03559875,148,19,8,11,7,3,23,4,22,23
2309, 청담역(우리들병원 앞),강남구,서울특별시 강남구 학동로 443,37.51890182,127.04938507,94,16,10,9,12,5,25,3,0,48
2310, 청담동 맥도날드 옆(위치),강남구,서울특별시 강남구 학동로 지하 508,37.52361298,127.04017639,438,16,11,9,6,4,41,4,19,36
2311, 학동로 래미안 아파트 앞,강남구,서울특별시 강남구 학동로 지하 508,37.51777267,127.04302216,167,25,8,13,18,4,34,2,14,49
2312, 청담역 13번 출구 앞,강남구,서울특별시 강남구 영동대로 703,37.52058029,127.05632782,99,9,8,1,4,3,13,3,34,28
2313, 금원빌딩 앞,강남구,서울특별시 강남구 도산대로 539,37.52511597,127.05246735,140,17,5,5,3,3,27,1,0,26
2314, 청담나들목입구,강남구,서울특별시 강남구 영동대로128길 59,37.52101517,127.06015015,42,2,3,1,2,3,8,3,34,21
2315, 봉은사역 5번출구 옆,강남구,서울특별시 강남구 봉은사로 지하 601,37.51424789,127.06111908,215,32,14,5,7,4,6,5,34,29
2316, 삼성역 8번출구,강남구,서울특별시 강남구 영동대로 502,37.50957489,127.0634079,171,23,10,7,4,2,7,3,35,34
2317, 삼성도로공원,강남구,서울특별시 강남구 영동대로112길 66,37.51588821,127.06620026,67,4,4,0,2,2,4,1,34,11
2318, 삼성중앙역4번출구(문화센터더 리빌),강남구,서울특별시 강남구 봉은사로 531,37.51357651,127.05503082,93,4,4,2,2,4,22,2,35,42
2319, 포스코사거리 서측(수협 삼성동 지점),강남구,서울특별시 강남구 테헤란로 435,37.50660706,127.05467987,292,44,14,6,6,3,33,2,35,55
2320, 도곡역 대치지구대 방향,강남구,서울특별시 강남구 남부순환로 지하 2814,37.4919281,127.05696869,35,4,3,1,4,10,8,1,0,27
2321, 학여울역 사거리,강남구,서울특별시 강남구 남부순환로 지하 3104,37.49611664,127.06944275,14,4,3,0,0,9,7,1,0,32
2322, 삼성역 3번 출구,강남구,서울특별시 강남구 테헤란로 534,37.50809097,127.06310272,176,35,11,9,4,4,12,3,35,40
2323, 주식회사 오뚜기 정문 앞,강남구,서울특별시 강남구 영동대로 308,37.50221252,127.06720734,29,9,2,0,1,5,7,1,1,34
2324, 천주교 대치 2동 교회 옆,강남구,서울특별시 강남구 도곡로 540,37.50043869,127.06622314,61,10,5,0,3,5,9,1,1,38
2325, 대치삼성아파트 앞 교차로,강남구,서울특별시 강남구 도곡로 447,37.4986496,127.05931854,106,25,14,7,6,10,17,0,1,52
2326, 대치동 삼성로,강남구,서울특별시 강남구 삼성로 350,37.50239563,127.05879974,119,26,5,2,2,10,25,2,1,58
2327, 뱅뱅사거리 랜드마크타워 앞,강남구,서울특별시 강남구 강남대로 308,37.49055099,127.03146362,214,27,5,5,2,1,16,2,0,40
2328, 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,강남구,서울특별시 강남구 언주로 506,37.50321198,127.04273224,316,31,17,5,6,1,24,0,0,63
2329, 르네상스호텔사거리 역삼지하보도 2번출구,강남구,서울특별시 강남구 테헤란로 지하 156,37.50235748,127.04319,319,41,17,7,7,3,22,1,0,57
2330, 역삼월드메르디앙아파트 앞,강남구,서울특별시 강남구 도곡로 183,37.49219894,127.03945923,127,16,11,4,4,1,23,2,7,54
2331, 동영문화센터앞,강남구,서울특별시 강남구 언주로 337,37.49805069,127.04460144,136,18,9,4,5,4,15,2,0,50
2332, 선릉역3번출구,강남구,서울특별시 강남구 선릉로 435,37.50400925,127.0490799,425,55,20,4,16,4,34,3,1,58
2333, 양재역 3번출구 주변,강남구,서울특별시 강남구 강남대로 240,37.48515701,127.03407288,94,14,4,4,13,1,8,3,0,21
2334, 삼호아파트 2동 ( 간선도로),강남구,서울특별시 강남구 선릉로 지하 228,37.49375916,127.04589844,51,13,4,4,7,6,12,4,7,42
2335, 3호선 매봉역 3번출구앞,강남구,서울특별시 강남구 남부순환로 2748,37.48676682,127.04676056,98,10,5,3,5,2,13,0,7,25
2336, 강남세브란스교차로 래미안그레이튼 104동 앞,강남구,서울특별시 강남구 선릉로 지하 228,37.49423599,127.04746246,40,8,3,4,5,6,13,4,7,42
2337, 대모산입구역 2번출구 앞,강남구,서울특별시 강남구 영동대로 101,37.49207687,127.07197571,0,0,0,0,0,9,5,0,0,21
2339, 현대아파트 정문 앞,강남구,서울특별시 강남구 언주로 107,37.48326111,127.0522995,6,2,2,0,4,5,5,0,7,16
2340, 삼호물산버스정류장(23370) 옆,강남구,서울특별시 강남구 논현로 82,37.47750854,127.04517365,93,11,5,6,6,3,6,1,0,14
2341, 일원역 4~5번 출구 사이,강남구,서울특별시 강남구 일원로 127,37.4833107,127.08493805,19,4,5,2,17,2,3,0,0,8
