대여소번호,대여소명,자치구,주소,위도,경도
2301, 현대고등학교 건너편,강남구,서울특별시 강남구 압구정로 134,37.52407074,127.02178955
2302, 교보타워 버스정류장(신논현역 3번출구 후면),강남구,서울특별시 강남구 봉은사로 지하 102,37.5055809,127.02427673
2303, 논현역 10번출구,강남구,서울특별시 강남구 학동로 지하 102,37.51137161,127.02146149
2304, 대현그린타워,강남구,서울특별시 강남구 언주로 626,37.5116272,127.03565216
2305, MCM 본사 직영점 앞,강남구,서울특별시 강남구 언주로 734,37.52064133,127.03450775
2306, 압구정역 2번 출구 옆,강남구,서울특별시 강남구 압구정로 지하 172,37.5271225,127.02871704
2307, 압구정 한양 3차 아파트,강남구,서울특별시 강남구 압구정로 321,37.52838135,127.03901672
2308, 압구정파출소 앞,강남구,서울특별시 강남구 압구정로 311,37.52930069,127.03559875
2309, 청담역(우리들병원 앞),강남구,서울특별시 강남구 학동로 443,37.51890182,127.04938507
2310, 청담동 맥도날드 옆(위치),강남구,서울특별시 강남구 학동로 지하 508,37.52361298,127.04017639
2311, 학동로 래미안 아파트 앞,강남구,서울특별시 강남구 학동로 지하 508,37.51777267,127.04302216
2312, 청담역 13번 출구 앞,강남구,서울특별시 강남구 영동대로 703,37.52058029,127.05632782
2313, 금원빌딩 앞,강남구,서울특별시 강남구 도산대로 539,37.52511597,127.05246735
2314, 청담나들목입구,강남구,서울특별시 강남구 영동대로128길 59,37.52101517,127.06015015
2315, 봉은사역 5번출구 옆,강남구,서울특별시 강남구 봉은사로 지하 601,37.51424789,127.06111908
2316, 삼성역 8번출구,강남구,서울특별시 강남구 영동대로 502,37.50957489,127.0634079
2317, 삼성도로공원,강남구,서울특별시 강남구 영동대로112길 66,37.51588821,127.06620026
2318, 삼성중앙역4번출구(문화센터더 리빌),강남구,서울특별시 강남구 봉은사로 531,37.51357651,127.05503082
2319, 포스코사거리 서측(수협 삼성동 지점),강남구,서울특별시 강남구 테헤란로 435,37.50660706,127.05467987
2320, 도곡역 대치지구대 방향,강남구,서울특별시 강남구 남부순환로 지하 2814,37.4919281,127.05696869
2321, 학여울역 사거리,강남구,서울특별시 강남구 남부순환로 지하 3104,37.49611664,127.06944275
2322, 삼성역 3번 출구,강남구,서울특별시 강남구 테헤란로 534,37.50809097,127.06310272
2323, 주식회사 오뚜기 정문 앞,강남구,서울특별시 강남구 영동대로 308,37.50221252,127.06720734
2324, 천주교 대치 2동 교회 옆,강남구,서울특별시 강남구 도곡로 540,37.50043869,127.06622314
2325, 대치삼성아파트 앞 교차로,강남구,서울특별시 강남구 도곡로 447,37.4986496,127.05931854
2326, 대치동 삼성로,강남구,서울특별시 강남구 삼성로 350,37.50239563,127.05879974
2327, 뱅뱅사거리 랜드마크타워 앞,강남구,서울특별시 강남구 강남대로 308,37.49055099,127.03146362
2328, 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,강남구,서울특별시 강남구 언주로 506,37.50321198,127.04273224
2329, 르네상스호텔사거리 역삼지하보도 2번출구,강남구,서울특별시 강남구 테헤란로 지하 156,37.50235748,127.04319
2330, 역삼월드메르디앙아파트 앞,강남구,서울특별시 강남구 도곡로 183,37.49219894,127.03945923
2331, 동영문화센터앞,강남구,서울특별시 강남구 언주로 337,37.49805069,127.04460144
2332, 선릉역3번출구,강남구,서울특별시 강남구 선릉로 435,37.50400925,127.0490799
2333, 양재역 3번출구 주변,강남구,서울특별시 강남구 강남대로 240,37.48515701,127.03407288
2334, 삼호아파트 2동 ( 간선도로),강남구,서울특별시 강남구 선릉로 지하 228,37.49375916,127.04589844
2335, 3호선 매봉역 3번출구앞,강남구,서울특별시 강남구 남부순환로 2748,37.48676682,127.04676056
2336, 강남세브란스교차로 래미안그레이튼 104동 앞,강남구,서울특별시 강남구 선릉로 지하 228,37.49423599,127.04746246
2337, 대모산입구역 2번출구 앞,강남구,서울특별시 강남구 영동대로 101,37.49207687,127.07197571
2339, 현대아파트 정문 앞,강남구,서울특별시 강남구 언주로 107,37.48326111,127.0522995
