station_id,in_common_master,in_train_features,in_test_features
2301,1,1,1
2302,1,1,1
2303,1,1,1
2304,1,1,1
2305,1,1,1
2306,1,1,1
2307,1,1,1
2308,1,1,1
2309,1,1,1
2310,1,1,1
2311,1,1,1
2312,1,1,1
2313,1,1,1
2314,1,1,1
2315,1,1,1
2316,1,0,0
2317,1,1,1
2318,1,1,1
2319,1,1,1
2320,1,1,1
2321,1,1,1
2322,1,0,0
2323,1,1,1
2324,1,1,1
2325,1,1,1
2326,1,1,1
2327,1,1,1
2328,1,1,1
2329,1,1,1
2330,1,1,1
2331,1,1,1
2332,1,1,1
2333,1,1,1
2334,1,1,1
2335,1,1,1
2336,1,1,1
2337,1,1,1
2339,1,1,1
2340,1,1,1
2341,1,1,1
2342,1,1,1
2344,1,1,1
2347,1,1,1
2348,1,1,1
2349,1,1,1
2350,1,1,1
2351,1,1,1
2352,1,1,1
2353,1,1,1
2354,1,1,1
2355,1,0,0
2356,1,1,1
2357,1,1,1
2358,1,1,1
2359,1,1,1
2360,1,1,1
2362,1,1,1
2363,1,1,1
2364,1,1,1
2365,1,1,1
2368,1,1,1
2369,1,1,1
2370,1,1,1
2371,1,1,1
2372,1,1,1
2373,1,1,1
2375,1,1,1
2376,1,1,1
2377,1,1,1
2380,1,1,1
2381,1,1,1
2382,1,1,1
2383,1,1,1
2384,1,1,1
2385,1,1,1
2386,1,1,1
2387,1,1,1
2388,1,1,1
2389,1,1,1
2390,1,1,1
2391,1,1,1
2392,1,1,1
2394,1,1,1
2396,1,1,1
2398,1,1,1
2401,1,1,1
2403,1,1,1
2404,1,1,1
2405,1,1,1
2406,1,1,1
2407,1,1,1
2408,1,1,1
2409,1,1,1
2410,1,1,1
2411,1,1,1
2413,1,1,1
2414,1,1,1
2415,1,1,1
2416,1,1,1
2417,1,1,1
2418,1,1,1
2419,1,1,1
2420,1,1,1
2421,1,1,0
2422,1,1,1
2423,1,1,1
2425,1,1,1
2426,1,1,1
2427,1,1,1
2430,1,1,1
2431,1,1,1
3602,1,1,1
3603,1,0,0
3604,1,1,1
3605,1,0,1
3606,1,1,1
3609,1,1,1
3610,1,1,1
3611,1,1,1
3612,1,1,1
3614,1,1,1
3615,1,1,1
3616,1,1,1
3618,1,1,1
3620,1,1,1
3621,1,1,0
3622,1,1,1
3623,1,1,1
3624,1,1,1
3627,1,1,1
3628,1,1,1
3629,1,1,1
3630,1,1,1
3634,1,1,1
3636,1,1,1
3637,1,1,1
3638,1,1,1
3640,1,1,1
3641,1,1,1
3642,1,1,1
3643,1,1,1
3644,1,1,1
3646,1,1,1
3647,1,1,1
3648,1,1,1
3649,1,1,1
3651,1,1,1
4901,1,1,0
4902,1,1,1
4903,1,1,1
4905,1,1,1
4906,1,1,1
4907,1,1,1
4908,1,1,1
4909,1,1,1
4913,1,1,1
4914,1,1,1
4915,1,1,1
4916,1,1,1
4917,1,1,1
4918,1,1,1
4919,1,1,1
4923,1,1,1
4924,1,1,1
4925,1,1,1
4926,1,1,1
4928,1,1,1
4929,1,1,1
4930,1,1,1
