,대여소번호,EMD_NM
0,2301.0,압구정동
1,2302.0,논현동
2,2303.0,논현동
3,2304.0,논현동
4,2305.0,논현동
5,2306.0,신사동
6,2307.0,압구정동
7,2308.0,압구정동
8,2309.0,청담동
9,2310.0,청담동
10,2311.0,청담동
11,2312.0,청담동
12,2313.0,청담동
13,2314.0,삼성동
14,2315.0,삼성동
15,2316.0,삼성동
16,2317.0,삼성동
17,2318.0,삼성동
18,2319.0,삼성동
19,2320.0,대치동
20,2321.0,대치동
21,2322.0,대치동
22,2323.0,대치동
23,2324.0,대치동
24,2325.0,대치동
25,2326.0,대치동
26,2327.0,역삼동
27,2328.0,역삼동
28,2329.0,역삼동
29,2330.0,역삼동
30,2331.0,역삼동
31,2332.0,역삼동
32,2333.0,도곡동
33,2334.0,도곡동
34,2335.0,도곡동
35,2336.0,도곡동
36,2337.0,개포동
37,2339.0,개포동
38,2340.0,개포동
39,2341.0,일원동
40,2342.0,개포동
41,2343.0,세곡동
42,2344.0,세곡동
43,2347.0,논현동
44,2348.0,삼성동
45,2349.0,역삼동
46,2350.0,역삼동
47,2351.0,수서동
48,2352.0,논현동
49,2353.0,논현동
50,2354.0,삼성동
51,2355.0,삼성동
52,2356.0,삼성동
53,2357.0,역삼동
54,2358.0,개포동
55,2359.0,개포동
56,2360.0,역삼동
57,2362.0,신사동
58,2363.0,논현동
59,2364.0,신사동
60,2365.0,신사동
61,2368.0,도곡동
62,2369.0,대치동
63,2370.0,대치동
64,2371.0,논현동
65,2372.0,대치동
66,2373.0,개포동
67,2375.0,수서동
68,2376.0,수서동
69,2377.0,수서동
70,2380.0,삼성동
71,2381.0,역삼동
72,2382.0,역삼동
73,2383.0,세곡동
74,2384.0,자곡동
75,2385.0,논현동
76,2386.0,논현동
77,2387.0,자곡동
78,2388.0,삼성동
79,2389.0,개포동
80,2390.0,개포동
81,2391.0,개포동
82,2392.0,개포동
83,2393.0,개포동
84,2394.0,개포동
85,2396.0,도곡동
86,2398.0,역삼동
87,2401.0,일원동
88,2403.0,일원동
89,2404.0,개포동
90,2405.0,삼성동
91,2406.0,논현동
92,2407.0,역삼동
93,2408.0,자곡동
94,2409.0,역삼동
95,2410.0,역삼동
96,2411.0,율현동
97,2412.0,일원동
98,2413.0,도곡동
99,2414.0,도곡동
100,2415.0,대치동
101,2416.0,도곡동
102,2417.0,역삼동
103,2418.0,삼성동
104,2419.0,삼성동
105,2420.0,대치동
106,2421.0,역삼동
107,2422.0,수서동
108,2423.0,일원동
109,2425.0,세곡동
110,2426.0,율현동
111,2427.0,개포동
112,2428.0,개포동
113,2429.0,신사동
114,2430.0,역삼동
115,2431.0,대치동
116,3603.0,대치동
117,3604.0,삼성동
118,3605.0,삼성동
119,3606.0,신사동
120,3609.0,도곡동
121,3610.0,세곡동
122,3611.0,율현동
123,3612.0,세곡동
124,3614.0,대치동
125,3615.0,논현동
126,3616.0,역삼동
127,3618.0,자곡동
128,3620.0,청담동
129,3621.0,대치동
130,3622.0,대치동
131,3623.0,일원동
132,3624.0,개포동
133,3627.0,압구정동
134,3602.0,수서동
135,3628.0,역삼동
136,3629.0,청담동
137,3630.0,개포동
138,3634.0,양재동
139,3636.0,삼성동
140,3637.0,세곡동
141,3638.0,청담동
142,3640.0,일원동
143,3641.0,일원동
144,3642.0,자곡동
145,3643.0,자곡동
146,3644.0,일원동
147,3646.0,역삼동
148,3647.0,개포동
149,3648.0,개포동
150,3649.0,개포동
151,3651.0,개포동
152,4901.0,대치동
153,4902.0,역삼동
154,4903.0,신사동
155,4905.0,대치동
156,4906.0,대치동
157,4907.0,신사동
158,4908.0,논현동
159,4909.0,역삼동
160,4911.0,역삼동
161,4913.0,삼성동
162,4914.0,삼성동
163,4915.0,역삼동
164,4916.0,삼성동
165,4917.0,일원동
166,4918.0,도곡동
167,4919.0,대치동
168,4923.0,대치동
169,4924.0,논현동
170,4926.0,대치동
171,4925.0,청담동
172,4928.0,자곡동
173,4929.0,청담동
174,4930.0,대치동
