datetime,temperature,humidity,precipitation,wind_speed
2024-01-01 00:00:00,-1.0,94,0.0,4.3
2024-01-01 01:00:00,-2.8,95,0.0,7.9
2024-01-01 02:00:00,-3.3,95,0.0,9.3
2024-01-01 03:00:00,-3.2,93,0.0,9.1
2024-01-01 04:00:00,-3.3,94,0.0,7.2
2024-01-01 05:00:00,-3.8,95,0.0,6.5
2024-01-01 06:00:00,-4.2,95,0.0,5.9
2024-01-01 07:00:00,-4.0,95,0.0,5.0
2024-01-01 08:00:00,-4.5,95,0.0,6.6
2024-01-01 09:00:00,-1.8,90,0.0,6.2
2024-01-01 10:00:00,1.5,85,0.0,5.4
2024-01-01 11:00:00,3.8,76,0.0,4.9
2024-01-01 12:00:00,5.4,68,0.0,4.5
2024-01-01 13:00:00,6.1,64,0.0,6.8
2024-01-01 14:00:00,6.5,60,0.0,9.4
2024-01-01 15:00:00,6.5,60,0.0,12.4
2024-01-01 16:00:00,5.8,66,0.0,10.1
2024-01-01 17:00:00,3.0,84,0.0,8.2
2024-01-01 18:00:00,1.5,84,0.0,7.0
2024-01-01 19:00:00,0.4,90,0.0,6.4
2024-01-01 20:00:00,-1.4,95,0.0,8.3
2024-01-01 21:00:00,0.5,96,0.0,5.2
2024-01-01 22:00:00,-0.3,100,0.0,5.0
2024-01-01 23:00:00,-0.1,100,0.0,2.3
