feature,importance,importance_ratio
available_lag_168,0.4952151901096687,0.4952151901096686
occupancy_rate,0.49425504713259066,0.49425504713259055
available_roll_mean_6,0.005014024005656791,0.00501402400565679
hour_sin,0.0030947803208024086,0.0030947803208024077
hour,0.0005227527775824682,0.0005227527775824681
available_lag_1,0.0004717449528906579,0.0004717449528906578
hour_cos,0.00032645595624778806,0.000326455956247788
available_roll_std_6,0.00021863954812125877,0.0002186395481212587
event_flag,0.00019598416531570255,0.0001959841653157025
available_lag_24,0.0001574114608888747,0.00015741146088887466
occupancy_rate_lag_1,0.00012396157285980914,0.0001239615728598091
available_lag_2,0.0001183625212931404,0.00011836252129314037
available_roll_mean_24,0.00011801336136067861,0.00011801336136067859
available_lag_3,5.56279863712539e-05,5.562798637125389e-05
available_roll_mean_3,3.7240185742962226e-05,3.724018574296222e-05
available_roll_std_3,3.3778804934204286e-05,3.377880493420428e-05
day_of_week,9.934653621559158e-06,9.934653621559156e-06
weather_temp_c,7.10855246030347e-06,7.108552460303468e-06
is_weekend,5.279024888972612e-06,5.279024888972611e-06
available_roll_std_24,5.013817349955345e-06,5.013817349955344e-06
day,4.791360470502264e-06,4.791360470502263e-06
is_holiday,4.339615815860417e-06,4.339615815860416e-06
dow_sin,4.019948165126081e-06,4.01994816512608e-06
dow_cos,3.5228531126711493e-07,3.522853112671149e-07
weather_humidity,1.4587958921947118e-07,1.4587958921947116e-07
month_cos,0.0,0.0
month_sin,0.0,0.0
month,0.0,0.0
year,0.0,0.0
weather_precip_mm,0.0,0.0
total_spaces,0.0,0.0
